setKey,cardNumber,player,team,subset,variant
base,1,"Mark Clayton RBMost TD Receptions, season",Miami Dolphins,,
base,2,"Eric Dickerson RBMost Rushing Yards, season",Los Angeles Rams,,
base,3,"Charlie Joiner RBMost Receptions, career",San Diego Chargers,,
base,4,Dan Marino,Miami Dolphins,,RB; UERUER: Dolphins misspelled as Dophins
base,5,"Art Monk RBMost Receptions, season",Washington Redskins,,
base,6,"Walter Payton RBMost Rushing Yards, career",Chicago Bears,,
base,7,1984 NFC Championship,San Francisco 49ers / Chicago Bears,,
base,8,1984 AFC Championship,Miami Dolphins / Pittsburgh Steelers,,
base,9,Super Bowl XIX SBXIX,San Francisco 49ers / Miami Dolphins,,
base,10,Falcons Team Leaders (Stretching for the First Down),Atlanta Falcons,,TL
base,11,William Andrews,Atlanta Falcons,,
base,12,Stacey Bailey,Atlanta Falcons,,
base,13,Steve Bartkowski,Atlanta Falcons,,
base,14,Rick Bryan RC,Atlanta Falcons,,
base,15,Alfred Jackson,Atlanta Falcons,,
base,16,Kenny Johnson,Atlanta Falcons,,
base,17,Mike Kenn,Atlanta Falcons,,AP
base,18,Mike Pitts RC,Atlanta Falcons,,
base,19,Gerald Riggs,Atlanta Falcons,,
base,20,Sylvester Stamps RC,Atlanta Falcons,,
base,21,R.C. Thielemann,Atlanta Falcons,,
base,22,Bears Team Leaders (Sweetness Sets Record Straight),Chicago Bears,,TL
base,23,Todd Bell RC,Chicago Bears,,AP
base,24,Richard Dent RC,Chicago Bears,,AP
base,25,Gary Fencik,Chicago Bears,,
base,26,Dave Finzer RC,Chicago Bears,,
base,27,Leslie Frazier,Chicago Bears,,
base,28,Steve Fuller,Chicago Bears,,
base,29,Willie Gault,Chicago Bears,,
base,30,Dan Hampton,Chicago Bears,,AP
base,31,Jim McMahon,Chicago Bears,,
base,32,Steve McMichael RC,Chicago Bears,,
base,33,Walter Payton,Chicago Bears,,AP
base,34,Mike Singletary,Chicago Bears,,
base,35,Matt Suhey,Chicago Bears,,
base,36,Bob Thomas,Chicago Bears,,
base,37,Cowboys Team Leaders (Busting Through the Defense),Dallas Cowboys,,TL
base,38,Bill Bates RC,Dallas Cowboys,,
base,39,Doug Cosbie,Dallas Cowboys,,
base,40,Tony Dorsett,Dallas Cowboys,,
base,41,Michael Downs,Dallas Cowboys,,
base,42,Mike Hegman RC,Dallas Cowboys,,UERUER: Reference to SB VIII; should be SB XIII
base,43,Tony Hill,Dallas Cowboys,,
base,44,Gary Hogeboom RC,Dallas Cowboys,,
base,45,Jim Jeffcoat RC,Dallas Cowboys,,
base,46,"Ed ""Too Tall"" Jones",Dallas Cowboys,,
base,47,Mike Renfro,Dallas Cowboys,,
base,48,Rafael Septien,Dallas Cowboys,,
base,49,Dennis Thurman,Dallas Cowboys,,
base,50,Everson Walls,Dallas Cowboys,,
base,51,Danny White,Dallas Cowboys,,
base,52,Randy White,Dallas Cowboys,,
base,53,Lions Team Leaders (Popping One Loose),Detroit Lions,,TL
base,54,Jeff Chadwick,Detroit Lions,,
base,55,Mike Cofer RC,Detroit Lions,,
base,56,Gary Danielson,Detroit Lions,,
base,57,Keith Dorney,Detroit Lions,,
base,58,Doug English,Detroit Lions,,
base,59,William Gay,Detroit Lions,,
base,60,Ken Jenkins RC,Detroit Lions,,
base,61,James Jones,Detroit Lions,,
base,62,Ed Murray,Detroit Lions,,
base,63,Billy Sims,Detroit Lions,,
base,64,Leonard Thompson,Detroit Lions,,
base,65,Bobby Watkins,Detroit Lions,,
base,66,Packers Team Leaders (Spotting His Deep Receiver),Green Bay Packers,,TL
base,67,Paul Coffman,Green Bay Packers,,
base,68,Lynn Dickey,Green Bay Packers,,
base,69,Mike Douglass,Green Bay Packers,,
base,70,Tom Flynn RC,Green Bay Packers,,
base,71,Eddie Lee Ivery,Green Bay Packers,,
base,72,Ezra Johnson,Green Bay Packers,,
base,73,Mark Lee,Green Bay Packers,,
base,74,Tim Lewis,Green Bay Packers,,
base,75,James Lofton,Green Bay Packers,,
base,76,Bucky Scribner RC,Green Bay Packers,,
base,77,Rams Team Leaders (Record-Setting Ground Attack),Los Angeles Rams,,TL
base,78,Nolan Cromwell,Los Angeles Rams,,
base,79,Eric Dickerson,Los Angeles Rams,,AP
base,80,Henry Ellard RC,Los Angeles Rams,,
base,81,Kent Hill,Los Angeles Rams,,
base,82,LeRoy Irvin,Los Angeles Rams,,
base,83,Jeff Kemp RC,Los Angeles Rams,,
base,84,Mike Lansford,Los Angeles Rams,,
base,85,Barry Redden RC,Los Angeles Rams,,
base,86,Jackie Slater,Los Angeles Rams,,
base,87,Doug Smith RC,Los Angeles Rams,,
base,88,Jack Youngblood,Los Angeles Rams,,
base,89,Vikings Team Leaders (Smothering the Opposition),Minnesota Vikings,,TL
base,90,Alfred Anderson RC,Minnesota Vikings,,
base,91,Ted Brown,Minnesota Vikings,,
base,92,Greg Coleman,Minnesota Vikings,,
base,93,Tommy Hannon RC,Minnesota Vikings,,
base,94,Tommy Kramer,Minnesota Vikings,,
base,95,Leo Lewis RC,Minnesota Vikings,,
base,96,Doug Martin,Minnesota Vikings,,
base,97,Darrin Nelson,Minnesota Vikings,,
base,98,Jan Stenerud,Minnesota Vikings,,AP
base,99,Sammy White,Minnesota Vikings,,
base,100,Saints Team Leaders (Hurdling Over Front Line),New Orleans Saints,,TL
base,101,Morten Andersen,New Orleans Saints,,
base,102,Hoby Brenner RC,New Orleans Saints,,
base,103,Bruce Clark,New Orleans Saints,,
base,104,Hokie Gajan RC,New Orleans Saints,,
base,105,Brian Hansen RC,New Orleans Saints,,
base,106,Rickey Jackson,New Orleans Saints,,
base,107,George Rogers,New Orleans Saints,,
base,108,Dave Wilson,New Orleans Saints,,
base,109,Tyrone Young RC,New Orleans Saints,,
base,110,Giants Team Leaders (Engulfing the Quaterback),New York Giants,,TL
base,111,Carl Banks RC,New York Giants,,
base,112,Jim Burt RC,New York Giants,,
base,113,Rob Carpenter,New York Giants,,
base,114,Harry Carson,New York Giants,,
base,115,Earnest Gray,New York Giants,,
base,116,Ali Haji-Sheikh,New York Giants,,
base,117,Mark Haynes,New York Giants,,AP
base,118,Bobby Johnson RC,New York Giants,,
base,119,Lionel Manuel RC,New York Giants,,
