setKey,cardNumber,player,team,subset,variant
base,1,The Epic Begins,Teenage Mutant Ninja Turtles,Series One,
base,2,Crime City!,Teenage Mutant Ninja Turtles,Series One,
base,3,The Art of Crime,Teenage Mutant Ninja Turtles,Series One,
base,4,"""Get April O'Neil!""",Teenage Mutant Ninja Turtles,Series One,
base,5,Mysterious Rescuer!,Teenage Mutant Ninja Turtles,Series One,
base,6,Monitoring the Turtles,Teenage Mutant Ninja Turtles,Series One,
base,7,A Special Wake-Up Call!,Teenage Mutant Ninja Turtles,Series One,
base,8,The Perfect Host,Teenage Mutant Ninja Turtles,Series One,
base,9,Pizza for Breakfast!,Teenage Mutant Ninja Turtles,Series One,
base,10,The Slice That Satisfies!,Teenage Mutant Ninja Turtles,Series One,
base,11,Splinter's Crew,Teenage Mutant Ninja Turtles,Series One,
base,12,It Began in Japan ...,Teenage Mutant Ninja Turtles,Series One,
base,13,Ninjas in Training,Teenage Mutant Ninja Turtles,Series One,
base,14,Framed by a Foe!,Teenage Mutant Ninja Turtles,Series One,
base,15,The Fateful Stumble,Teenage Mutant Ninja Turtles,Series One,
base,16,A Man and His Turtles,Teenage Mutant Ninja Turtles,Series One,
base,17,Metamorphosis,Teenage Mutant Ninja Turtles,Series One,
base,18,Humanoid Turtles!,Teenage Mutant Ninja Turtles,Series One,
base,19,Man-into-Ratman,Teenage Mutant Ninja Turtles,Series One,
base,20,Splinter's Skill,Teenage Mutant Ninja Turtles,Series One,
base,21,Donatello!,Teenage Mutant Ninja Turtles,Series One,
base,22,Raphael!,Teenage Mutant Ninja Turtles,Series One,
base,23,Leonardo!,Teenage Mutant Ninja Turtles,Series One,
base,24,Michaelangelo!,Teenage Mutant Ninja Turtles,Series One,
base,25,The Shredder,Teenage Mutant Ninja Turtles,Series One,
base,26,The Master's Plan,Teenage Mutant Ninja Turtles,Series One,
base,27,Ready for Action!,Teenage Mutant Ninja Turtles,Series One,
base,28,Underground Heroes!,Teenage Mutant Ninja Turtles,Series One,
base,29,The Ninjas Emerge,Teenage Mutant Ninja Turtles,Series One,
base,30,"""Turtles? No Way!!""",Teenage Mutant Ninja Turtles,Series One,
base,31,"""Here's Looking at You, Kid!""",Teenage Mutant Ninja Turtles,Series One,
base,32,Our Kinda Town!,Teenage Mutant Ninja Turtles,Series One,
base,33,Ninja Pizza Coming Up!,Teenage Mutant Ninja Turtles,Series One,
base,34,April ... Kidnapped!,Teenage Mutant Ninja Turtles,Series One,
base,35,The Shredder's Evil Gang,Teenage Mutant Ninja Turtles,Series One,
base,36,Let's Rock 'n' Roll!,Teenage Mutant Ninja Turtles,Series One,
base,37,High Flyin' Hero!,Teenage Mutant Ninja Turtles,Series One,
base,38,"Time to Fight, Dudes!",Teenage Mutant Ninja Turtles,Series One,
base,39,Clobbered!,Teenage Mutant Ninja Turtles,Series One,
base,40,Turtle Threat,Teenage Mutant Ninja Turtles,Series One,
base,41,Power of the Enemy,Teenage Mutant Ninja Turtles,Series One,
base,42,Zapped!,Teenage Mutant Ninja Turtles,Series One,
base,43,A Narrow Escape!,Teenage Mutant Ninja Turtles,Series One,
base,44,Tumble That Wall!,Teenage Mutant Ninja Turtles,Series One,
base,45,The Rescue of April,Teenage Mutant Ninja Turtles,Series One,
base,46,Trapped By Their Foe!,Teenage Mutant Ninja Turtles,Series One,
base,47,Making a Splash!,Teenage Mutant Ninja Turtles,Series One,
base,48,"""Water? No Prob!""",Teenage Mutant Ninja Turtles,Series One,
base,49,Unsinkable April,Teenage Mutant Ninja Turtles,Series One,
base,50,Sword of Justice,Teenage Mutant Ninja Turtles,Series One,
base,51,Death-Defying Escape!,Teenage Mutant Ninja Turtles,Series One,
base,52,Turtles Triumphant,Teenage Mutant Ninja Turtles,Series One,
base,53,The Fearless Foursome,Teenage Mutant Ninja Turtles,Series One,
base,54,Rockabye Turtle!,Teenage Mutant Ninja Turtles,Series One,
base,55,"Another Day, Another Battle!",Teenage Mutant Ninja Turtles,Series One,
base,56,Action-Packed Workout!,Teenage Mutant Ninja Turtles,Series One,
base,57,Hero in a Half-Shell,Teenage Mutant Ninja Turtles,Series One,
base,58,A Tasty Treat!,Teenage Mutant Ninja Turtles,Series One,
base,59,"""Err ... Ahh ... No Thanks!""",Teenage Mutant Ninja Turtles,Series One,
base,60,Technodrome Terror,Teenage Mutant Ninja Turtles,Series One,
base,61,In Cahoots with Krang,Teenage Mutant Ninja Turtles,Series One,
base,62,Diabolical Duo!,Teenage Mutant Ninja Turtles,Series One,
base,63,"""What About My Story?!""",Teenage Mutant Ninja Turtles,Series One,
base,64,Jive Turtles!,Teenage Mutant Ninja Turtles,Series One,
base,65,"""Sorry About That, April!""",Teenage Mutant Ninja Turtles,Series One,
base,66,Madness at the Zoo!,Teenage Mutant Ninja Turtles,Series One,
base,67,New Mutant Henchmen,Teenage Mutant Ninja Turtles,Series One,
base,68,Up from the Depths,Teenage Mutant Ninja Turtles,Series One,
base,69,Rocksteady's Revenge UERUER: Photo actually Bebop,Teenage Mutant Ninja Turtles,Series One,
base,70,When Mutants Collide!,Teenage Mutant Ninja Turtles,Series One,
base,71,The Long Journey,Teenage Mutant Ninja Turtles,Series One,
base,72,Courage of the Master,Teenage Mutant Ninja Turtles,Series One,
base,73,Snagged By the Shredder!,Teenage Mutant Ninja Turtles,Series One,
base,74,Turtles to the Rescue!,Teenage Mutant Ninja Turtles,Series One,
base,75,"""Looks Like Another Trap!""",Teenage Mutant Ninja Turtles,Series One,
base,76,Surrounded!,Teenage Mutant Ninja Turtles,Series One,
base,77,Danger on All Sides!,Teenage Mutant Ninja Turtles,Series One,
base,78,Mechanical Monsters,Teenage Mutant Ninja Turtles,Series One,
base,79,Turtle Power!,Teenage Mutant Ninja Turtles,Series One,
base,80,Roused and Riled!,Teenage Mutant Ninja Turtles,Series One,
base,81,His Best Foot Forward,Teenage Mutant Ninja Turtles,Series One,
base,82,Smashed to Smithereens!,Teenage Mutant Ninja Turtles,Series One,
base,83,The Assault Continues,Teenage Mutant Ninja Turtles,Series One,
base,84,A Mean Green Machine!,Teenage Mutant Ninja Turtles,Series One,
base,85,The Rage of Krang,Teenage Mutant Ninja Turtles,Series One,
base,86,"""Next Time, Turtles ...!""",Teenage Mutant Ninja Turtles,Series One,
base,87,"""Cowabunga! It's Meal Time!""",Teenage Mutant Ninja Turtles,Series One,
base,88,Savoring Their Reward,Teenage Mutant Ninja Turtles,Series One,
base,89,Our Story Opens,Teenage Mutant Ninja Turtles,Series Two,
base,90,Pulling the Switch,Teenage Mutant Ninja Turtles,Series Two,
base,91,Usagi Yojimbo,Teenage Mutant Ninja Turtles,Series Two,
base,92,Unbelievable!,Teenage Mutant Ninja Turtles,Series Two,
base,93,The Tortoise and the Hare,Teenage Mutant Ninja Turtles,Series Two,
base,94,Defeated By Donatello,Teenage Mutant Ninja Turtles,Series Two,
base,95,A New Caper,Teenage Mutant Ninja Turtles,Series Two,
base,96,Turtles Undercover,Teenage Mutant Ninja Turtles,Series Two,
base,97,"Hare Today, Gone Today",Teenage Mutant Ninja Turtles,Series Two,
base,98,Rabbit About Town,Teenage Mutant Ninja Turtles,Series Two,
base,99,Rabbit Transit,Teenage Mutant Ninja Turtles,Series Two,
base,100,Welcome to the Hutch,Teenage Mutant Ninja Turtles,Series Two,
base,101,Rabbit Rampage,Teenage Mutant Ninja Turtles,Series Two,
base,102,Turtles to the Rescue,Teenage Mutant Ninja Turtles,Series Two,
base,103,Studying the Screen,Teenage Mutant Ninja Turtles,Series Two,
base,104,The Plot Heats Up!,Teenage Mutant Ninja Turtles,Series Two,
base,105,Quakes and Shakes,Teenage Mutant Ninja Turtles,Series Two,
base,106,Enter the Dragon,Teenage Mutant Ninja Turtles,Series Two,
base,107,Flaming Fangs,Teenage Mutant Ninja Turtles,Series Two,
base,108,The Dragon Master,Teenage Mutant Ninja Turtles,Series Two,
base,109,A Possible Solution,Teenage Mutant Ninja Turtles,Series Two,
