setKey,cardNumber,player,team,subset,variant
base,1,Wayne Gretzky,Indianapolis Racers,Wayne Gretzky Tribute,
base,2,Wayne Gretzky,Edmonton Oilers,Wayne Gretzky Tribute,
base,3,Wayne Gretzky,Los Angeles Kings,Wayne Gretzky Tribute,
base,4,Brett Hull HL,St. Louis Blues,Highlights,
base,5,Jari Kurri HL,Edmonton Oilers,Highlights,
base,6,Bryan Trottier HL,New York Islanders,Highlights,
base,7,Jeremy Roenick RC,Chicago Blackhawks,Base,
base,8,Brian Propp,Boston Bruins,Base,
base,9,Jim Hrivnak TP RC,Washington Capitals,Top Prospects,
base,10,Mick Vukota RC,New York Islanders,Base,
base,11,Tom Kurvers,Toronto Maple Leafs,Base,
base,12,Ulf Dahlen,Minnesota North Stars,Base,
base,13,Bernie Nicholls,New York Rangers,Base,
base,14,Peter Sidorkiewicz,Hartford Whalers,Base,
base,15,Peter Zezel,St. Louis Blues,Base,
base,16,Mike Hartman RC,Buffalo Sabres,Base,
base,17,Los Angeles Kings TC,Los Angeles Kings,Base,
base,18,Jim Sandlak,Vancouver Canucks,Base,
base,19,Rob Brown,Pittsburgh Penguins,Base,
base,20,Paul Ranheim RC,Calgary Flames,Base,
base,21,Rick Zombo RC,Detroit Red Wings,Base,
base,22,Paul Gillis,Quebec Nordiques,Base,
base,23,Brian Hayward,Montreal Canadiens,Base,
base,24,Brent Ashton,Winnipeg Jets,Base,
base,25,Mark Lamb RC,Edmonton Oilers,Base,
base,26,Rick Tocchet,Philadelphia Flyers,Base,
base,27,Viacheslav Fetisov RC,New Jersey Devils,Base,
base,28,Denis Savard,Chicago Blackhawks,Base,
base,29,Chris Chelios,Montreal Canadiens,Base,
base,30,Janne Ojanen RC,New Jersey Devils,Base,
base,31,Don Maloney,New York Islanders,Base,
base,32,Allan Bester,Toronto Maple Leafs,Base,
base,33,Geoff Smith RC,Edmonton Oilers,Base,
base,34,Daniel Shank RC,Detroit Red Wings,Base,
base,35,Mikael Andersson RC,Hartford Whalers,Base,
base,36,Gino Cavallini,St. Louis Blues,Base,
base,37,Rob Murphy TP RC,Vancouver Canucks,Top Prospects,
base,38,Calgary Flames TC,Calgary Flames,Base,
base,39,Laurie Boschman,Winnipeg Jets,Base,
base,40,Craig Wolanin RC,Quebec Nordiques,Base,
base,41,Phil Bourque,Pittsburgh Penguins,Base,
base,42,Alexander Mogilny RC,Buffalo Sabres,Base,
base,43,Ray Bourque,Boston Bruins,Base,
base,44,Mike Liut,Washington Capitals,Base,
base,45,Ron Sutter,Philadelphia Flyers,Base,
base,46,Bob Kudelski RC,Los Angeles Kings,Base,
base,47,Larry Murphy,Minnesota North Stars,Base,
base,48,Darren Turcotte RC,New York Rangers,Base,
base,49,Paul Ysebaert TP RC,New Jersey Devils,Top Prospects,
base,50,Alan Kerr,New York Islanders,Base,
base,51,Randy Carlyle,Winnipeg Jets,Base,
base,52,Iiro Jarvi,Quebec Nordiques,Base,
base,53,Don Barber RC,Minnesota North Stars,Base,
base,54,Carey Wilson,New York Rangers,Base,
base,55,Joe Kocur RC,Detroit Red Wings,Base,
base,56,Steve Larmer,Chicago Blackhawks,Base,
base,57,Paul Cavallini,St. Louis Blues,Base,
base,58,Shayne,Montreal Canadiens,Base,
base,59,Vancouver Canucks TC,Vancouver Canucks,Base,
base,60,Sergei Makarov RC,Calgary Flames,Base,
base,61,Kjell Samuelsson,Philadelphia Flyers,Base,
base,62,Tony Granato,Los Angeles Kings,Base,
base,63,Tom Fergus,Toronto Maple Leafs,Base,
base,64,Martin Gelinas RC,Edmonton Oilers,Base,
base,65,Tom Barrasso,Pittsburgh Penguins,Base,
base,66,Pierre Turgeon,Buffalo Sabres,Base,
base,67,Randy Cunneyworth,Hartford Whalers,Base,
base,68,Michal Pivonka RC,Washington Capitals,Base,
base,69,Cam Neely,Boston Bruins,Base,
base,70,Brian Bellows,Minnesota North Stars,Base,
base,71,Pat Elynuik,Winnipeg Jets,Base,
base,72,Doug Crossman,New York Islanders,Base,
base,73,Sylvain Turgeon,New Jersey Devils,Base,
base,74,Shawn Burr,Detroit Red Wings,Base,
base,75,John Vanbiesbrouck,New York Rangers,Base,
base,76,Steve Bozek,Vancouver Canucks,Base,
base,77,Brett Hull,St. Louis Blues,Base,
base,78,Zarley Zalapski,Pittsburgh Penguins,Base,
base,79,Wendel Clark,Toronto Maple Leafs,Base,
base,80,Philadelphia Flyers TC,Philadelphia Flyers,Base,
base,81,Kelly Miller,Washington Capitals,Base,
base,82,Mark Pederson TP RC,Montreal Canadiens,Top Prospects,
base,83,Adam Creighton,Chicago Blackhawks,Base,
base,84,Scott Young,Hartford Whalers,Base,
base,85,Petr Klima,Edmonton Oilers,Base,
base,86,Steve Duchesne,Los Angeles Kings,Base,
base,87,Joe Nieuwendyk,Calgary Flames,Base,
base,88,Andy Brickley,Boston Bruins,Base,
base,89,Phil Housley,Winnipeg Jets,Base,
base,90,Neal Broten,Minnesota North Stars,Base,
base,91,Al Iafrate,Toronto Maple Leafs,Base,
base,92,Steve Thomas,Chicago Blackhawks,Base,
base,93,Guy Carbonneau,Montreal Canadiens,Base,
base,94,Steve Chiasson,Detroit Red Wings,Base,
base,95,Mike Tomlak RC,Hartford Whalers,Base,
base,96,Roger Johansson TP RC,Calgary Flames,Top Prospects,
base,97,Randy Wood,New York Islanders,Base,
base,98,Jim Johnson,Pittsburgh Penguins,Base,
base,99,Bob Sweeney,Boston Bruins,Base,
base,100,Dino Ciccarelli,Washington Capitals,Base,
base,101,New York Rangers TC,New York Rangers,Base,
base,102,Mike Ramsey,Buffalo Sabres,Base,
base,103,Kelly Hrudey,Los Angeles Kings,Base,
base,104,Dave Ellett,Winnipeg Jets,Base,
base,105,Bob Brooke,New Jersey Devils,Base,
base,106,Greg Adams,Vancouver Canucks,Base,
base,107,Joe Cirella,Quebec Nordiques,Base,
base,108,Jari Kurri,Edmonton Oilers,Base,
base,109,Pete Peeters,Philadelphia Flyers,Base,
base,110,Paul MacLean,St. Louis Blues,Base,
base,111,Doug Wilson,Chicago Blackhawks,Base,
base,112,Pat Verbeek,Hartford Whalers,Base,
base,113,Bob Beers TP RC,Boston Bruins,Top Prospects,
base,114,Mike O'Connell,Detroit Red Wings,Base,
base,115,Brian Bradley,Vancouver Canucks,Base,
base,116,Paul Coffey,Pittsburgh Penguins,Base,
base,117,Doug Brown,New Jersey Devils,Base,
base,118,Aaron Broten,Minnesota North Stars,Base,
base,119,Bob Essensa RC,Winnipeg Jets,Base,
base,120,Wayne Gretzky,Los Angeles Kings,Base,
base,121,Vincent Damphousse,Toronto Maple Leafs,Base,
base,122,Quebec Nordiques TC,Quebec Nordiques,Base,
base,123,Mike Foligno,Buffalo Sabres,Base,
base,124,Russ Courtnall,Montreal Canadiens,Base,
base,125,Rick Meagher,St. Louis Blues,Base,
base,126,Craig Fisher TP RC,Philadelphia Flyers,Top Prospects,
base,127,Al MacInnis,Calgary Flames,Base,
base,128,Derek King,New York Islanders,Base,
base,129,Dale Hunter,Washington Capitals,Base,
base,130,Mark Messier,Edmonton Oilers,Base,
base,131,James Patrick,New York Rangers,Base,
base,132,Checklist: 1-132 CL,,Checklist,
base,133,Detroit Red Wings TC,Detroit Red Wings,Base,
base,134,Barry Pederson,Pittsburgh Penguins,Base,
base,135,Gary Leeman,Toronto Maple Leafs,Base,
base,136,Doug Gilmour,Calgary Flames,Base,
base,137,Mike McPhee,Montreal Canadiens,Base,
base,138,Bob Murray,Chicago Blackhawks,Base,
base,139,Bob Carpenter,Boston Bruins,Base,
base,140,Sean Burke,New Jersey Devils,Base,
base,141,Dale Hawerchuk,Buffalo Sabres,Base,
base,142,Guy Lafleur,Quebec Nordiques,Base,
base,143,Lindy Ruff,New York Rangers,Base,
base,144,Hartford Whalers TC,Hartford Whalers,Base,
base,145,Glenn Anderson,Edmonton Oilers,Base,
base,146,Dave Chyzowski TP RC,New York Islanders,Top Prospects,
base,147,Kevin Hatcher,Washington Capitals,Base,
base,148,Rick Vaive,Buffalo Sabres,Base,
base,149,Adam Oates,St. Louis Blues,Base,
base,150,Garth Butcher,Vancouver Canucks,Base,
base,151,Basil McRae,Minnesota North Stars,Base,
base,152,Ilkka Sinisalo,Philadelphia Flyers,Base,
base,153,Steve Kasper,Los Angeles Kings,Base,
base,154,Greg Paslawski,Winnipeg Jets,Base,
base,155,Brad Marsh,Toronto Maple Leafs,Base,
base,156,Esa Tikkanen,Edmonton Oilers,Base,
base,157,Tony Tanti,Pittsburgh Penguins,Base,
base,158,Mario Marois,Quebec Nordiques,Base,
base,159,Sylvain Lefebvre RC,Montreal Canadiens,Base,
base,160,Troy Murray,Chicago Blackhawks,Base,
base,161,Gary Roberts,Calgary Flames,Base,
base,162,Randy Ladouceur,Hartford Whalers,Base,
base,163,John Chabot,Detroit Red Wings,Base,
base,164,Calle Johansson,Washington Capitals,Base,
base,165,Boston Bruins TC,Boston Bruins,Base,
base,166,Jeff Norton,New York Islanders,Base,
base,167,Mike Krushelnyski,Los Angeles Kings,Base,
base,168,Dave Gagner,Minnesota North Stars,Base,
base,169,Dave Andreychuk,Buffalo Sabres,Base,
base,170,Dave Capuano RC,Vancouver Canucks,Base,
base,171,Curtis Joseph TP RC,St. Louis Blues,Top Prospects,
base,172,Bruce Driver,New Jersey Devils,Base,
base,173,Scott Mellanby,Philadelphia Flyers,Base,
base,174,John Ogrodnick,New York Rangers,Base,
base,175,Mario Lemieux,Pittsburgh Penguins,Base,
base,176,Marc Fortier,Quebec Nordiques,Base,
base,177,Vincent Riendeau RC,St. Louis Blues,Base,
base,178,Mark Johnson,New Jersey Devils,Base,
base,179,Dirk Graham,Chicago Blackhawks,Base,
base,180,Winnipeg Jets TC,Winnipeg Jets,Base,
base,181,Robb Stauber TP RC,Los Angeles Kings,Top Prospects,
base,182,Christian Ruuttu,Buffalo Sabres,Base,
base,183,Dave Tippett,Hartford Whalers,Base,
base,184,Pat LaFontaine,New York Islanders,Base,
base,185,Mark Howe,Philadelphia Flyers,Base,
base,186,Stephane Richer,Montreal Canadiens,Base,
base,187,Jan Erixon,New York Rangers,Base,
base,188,Neil Sheehy,Washington Capitals,Base,
base,189,Craig MacTavish,Edmonton Oilers,Base,
base,190,Randy Burridge,Boston Bruins,Base,
base,191,Bernie Federko,Detroit Red Wings,Base,
base,192,Shawn Chambers,Minnesota North Stars,Base,
base,193,Mark Messier AS,Edmonton Oilers,All-Star,
base,194,Luc Robitaille AS,Los Angeles Kings,All-Star,
base,195,Brett Hull AS,St. Louis Blues,All-Star,
base,196,Ray Bourque AS,Boston Bruins,All-Star,
base,197,Al MacInnis AS,Calgary Flames,All-Star,
base,198,Patrick Roy AS,Montreal Canadiens,All-Star,
base,199,Wayne Gretzky AS,Los Angeles Kings,All-Star,
base,200,Brian Bellows AS,Minnesota North Stars,All-Star,
base,201,Cam Neely AS,Boston Bruins,All-Star,
base,202,Paul Coffey AS,Pittsburgh Penguins,All-Star,
base,203,Doug Wilson AS,Chicago Blackhawks,All-Star,
base,204,Daren Puppa AS,Buffalo Sabres,All-Star,
base,205,Gary Suter,Calgary Flames,Base,
base,206,Ed Olczyk,Toronto Maple Leafs,Base,
base,207,Doug Lidster,Vancouver Canucks,Base,
base,208,John Cullen,Pittsburgh Penguins,Base,
base,209,Luc Robitaille,Los Angeles Kings,Base,
base,210,Tim Kerr,Philadelphia Flyers,Base,
base,211,Scott Stevens,Washington Capitals,Base,
base,212,Craig Janney,Boston Bruins,Base,
base,213,Kevin Dineen,Hartford Whalers,Base,
base,214,Jimmy Waite TP RC,Chicago Blackhawks,Top Prospects,
base,215,Benoit Hogue,Buffalo Sabres,Base,
base,216,Curtis Leschyshyn RC,Quebec Nordiques,Base,
base,217,Brad Lauer,New York Islanders,Base,
base,218,Joe Mullen,Pittsburgh Penguins,Base,
base,219,Patrick Roy,Montreal Canadiens,Base,
base,220,St. Louis Blues TC,St. Louis Blues,Base,
base,221,Brian Leetch,New York Rangers,Base,
base,222,Steve Yzerman,Detroit Red Wings,Base,
base,223,Steph Beauregard TP RC,Winnipeg Jets,Top Prospects,
base,224,John MacLean,New Jersey Devils,Base,
base,225,Trevor Linden,Vancouver Canucks,Base,
base,226,Bill Ranford,Edmonton Oilers,Base,
base,227,Mark Osborne,Toronto Maple Leafs,Base,
base,228,Curt Giles,Minnesota North Stars,Base,
base,229,Mikko Makela,Los Angeles Kings,Base,
base,230,Bob,Pittsburgh Penguins,Base,
base,231,Jimmy Carson,Detroit Red Wings,Base,
base,232,Kay Whitmore TP RC,Hartford Whalers,Top Prospects,
base,233,Gary Nylund,New York Islanders,Base,
base,234,Jiri Hrdina RC,Calgary Flames,Base,
base,235,Stephen Leach,Washington Capitals,Base,
base,236,Greg Hawgood,Boston Bruins,Base,
base,237,Jocelyn Lemieux RC,Chicago Blackhawks,Base,
base,238,Daren Puppa,Buffalo Sabres,Base,
base,239,Kelly Kisio,New York Rangers,Base,
base,240,Craig Simpson,Edmonton Oilers,Base,
base,241,Toronto Maple Leafs TC,Toronto Maple Leafs,Base,
base,242,Fredrik Olausson,Winnipeg Jets,Base,
base,243,Ron Hextall,Philadelphia Flyers,Base,
base,244,Sergio Momesso RC,St. Louis Blues,Base,
base,245,Kirk Muller,New Jersey Devils,Base,
base,246,Petr Svoboda,Montreal Canadiens,Base,
base,247,Daniel Berthiaume,Minnesota North Stars,Base,
base,248,Andrew McBain,Vancouver Canucks,Base,
base,249,Jeff Jackson,Quebec Nordiques,Base,
base,250,Randy Gilhen RC,Pittsburgh Penguins,Base,
base,251,Edmonton Oilers TC,Edmonton Oilers,Base,
base,252,Rick Bennett TP RC,New York Rangers,Top Prospects,
base,253,Don Beaupre,Washington Capitals,Base,
base,254,Pelle Eklund,Philadelphia Flyers,Base,
base,255,Greg Gilbert,Chicago Blackhawks,Base,
base,256,Gordie Roberts,St. Louis Blues,Base,
base,257,Kirk McLean,Vancouver Canucks,Base,
base,258,Brent Sutter,New York Islanders,Base,
base,259,Brendan Shanahan,New Jersey Devils,Base,
base,260,Todd Krygier RC,Hartford Whalers,Base,
base,261,Larry Robinson,Los Angeles Kings,Base,
base,262,Buffalo Sabres TC,Buffalo Sabres,Base,
base,263,Dave Christian,Boston Bruins,Base,
base,264,Checklist: 133-264 CL,,Checklist,
base,265,Jamie Macoun,Calgary Flames,Base,
base,266,Glen Hanlon,Detroit Red Wings,Base,
base,267,Daniel Marois,Toronto Maple Leafs,Base,
base,268,Doug Smail,Winnipeg Jets,Base,
base,269,Jon Casey,Minnesota North Stars,Base,
base,270,Brian Skrudland,Montreal Canadiens,Base,
base,271,Michel Petit,Quebec Nordiques,Base,
base,272,Dan Quinn,Vancouver Canucks,Base,
base,273,Geoff Courtnall,Washington Capitals,Base,
base,274,Mike Bullard,Philadelphia Flyers,Base,
base,275,Randy Gregg,Edmonton Oilers,Base,
base,276,Keith Brown,Chicago Blackhawks,Base,
base,277,Troy Mallette RC,New York Rangers,Base,
base,278,Steve Tuttle,St. Louis Blues,Base,
base,279,Brad Shaw RC,Hartford Whalers,Base,
base,280,Mark Recchi RC,Pittsburgh Penguins,Base,
base,281,John Tonelli,Los Angeles Kings,Base,
base,282,Doug Bodger,Buffalo Sabres,Base,
base,283,Thomas Steen,Winnipeg Jets,Base,
base,284,New Jersey Devils TC,New Jersey Devils,Base,
base,285,Lee Norwood,Detroit Red Wings,Base,
base,286,Brian MacLellan,Calgary Flames,Base,
base,287,Bobby Smith,Montreal Canadiens,Base,
base,288,Robert Cimetta RC,Boston Bruins,Base,
base,289,Rob Zettler TP RC,Minnesota North Stars,Top Prospects,
base,290,Dave Reid RC,Toronto Maple Leafs,Base,
base,291,Bryan Trottier,New York Islanders,Base,
base,292,Brian Mullen,New York Rangers,Base,
base,293,Paul Reinhart,Vancouver Canucks,Base,
base,294,Andy Moog,Boston Bruins,Base,
base,295,Jeff Brown,St. Louis Blues,Base,
base,296,Ryan Walter,Montreal Canadiens,Base,
base,297,Trent Yawney,Chicago Blackhawks,Base,
base,298,John Druce RC,Washington Capitals,Base,
base,299,Dave McLlwain,Winnipeg Jets,Base,
base,300,David Volek,New York Islanders,Base,
base,301,Tomas Sandstrom,Los Angeles Kings,Base,
base,302,Gord Murphy RC,Philadelphia Flyers,Base,
base,303,Lou Franceschetti RC,Toronto Maple Leafs,Base,
base,304,Dana Murzyn,Calgary Flames,Base,
base,305,Minnesota North Stars TC,Minnesota North Stars,Base,
base,306,Patrik Sundstrom,New Jersey Devils,Base,
base,307,Kevin Lowe,Edmonton Oilers,Base,
base,308,Dave Barr,Detroit Red Wings,Base,
base,309,Wendell Young RC,Pittsburgh Penguins,Base,
base,310,Darrin Shannon TP RC,Buffalo Sabres,Top Prospects,
base,311,Ron Francis,Hartford Whalers,Base,
base,312,Stephane Fiset TP RC,Quebec Nordiques,Top Prospects,
base,313,Paul Fenton,Winnipeg Jets,Base,
base,314,Dave Taylor,Los Angeles Kings,Base,
base,315,New York Islanders TC,New York Islanders,Base,
base,316,Petri Skriko,Vancouver Canucks,Base,
base,317,Rob Ramage,Toronto Maple Leafs,Base,
base,318,Murray Craven,Philadelphia Flyers,Base,
base,319,Gaetan Duchesne,Minnesota North Stars,Base,
base,320,Brad McCrimmon,Detroit Red Wings,Base,
base,321,Grant Fuhr,Edmonton Oilers,Base,
