setKey,cardNumber,player,team,subset,variant
base,1,Dave Stewart,Oakland Athletics,,Tuxedo portrait
base,2,Wally Joyner,California Angels,,
base,3,Shawon Dunston,Chicago Cubs,,
base,4,Darren Daulton,Philadelphia Phillies,,
base,5,Will Clark,San Francisco Giants,,
base,6,Sammy Sosa,Chicago White Sox,,
base,7,Dan Plesac,Milwaukee Brewers,,
base,8,Marquis Grissom,Montreal Expos,,
base,9,Erik Hanson,Seattle Mariners,,
base,10,Geno Petralli,Texas Rangers,,
base,11,Jose Rijo,Cincinnati Reds,,
base,12,Carlos Quintana,Boston Red Sox,,
base,13,Junior Ortiz,Minnesota Twins,,
base,14,Bob Walk,Pittsburgh Pirates,,
base,15,Mike Macfarlane,Kansas City Royals,,
base,16,Eric Yelding,Houston Astros,,
base,17,Bryn Smith,St. Louis Cardinals,,
base,18,Bip Roberts,San Diego Padres,,
base,19,Mike Scioscia,Los Angeles Dodgers,,
base,20,Mark Williamson,Baltimore Orioles,,
base,21,Don Mattingly,New York Yankees,,
base,22,John Franco,New York Mets,,
base,23,Chet Lemon,Detroit Tigers,,
base,24,Tom Henke,Toronto Blue Jays,,
base,25,Jerry Browne,Cleveland Indians,,
base,26,David Justice,Atlanta Braves,,
base,27,Mark Langston,California Angels,,
base,28,Damon Berryhill,Chicago Cubs,,
base,29,Kevin Bass,San Francisco Giants,,
base,30,Scott Fletcher,Chicago White Sox,,
base,31,Moises Alou,Montreal Expos,,
base,32,Dave Valle,Seattle Mariners,,
base,33,Jody Reed,Boston Red Sox,,
base,34,David West,Minnesota Twins,,
base,35,Kevin McReynolds,New York Mets,,
base,36,Pat Combs,Philadelphia Phillies,,
base,37,Eric Davis,Cincinnati Reds,,
base,38,Bret Saberhagen,Kansas City Royals,,
base,39,Stan Javier,Los Angeles Dodgers,,
base,40,Chuck Cary,New York Yankees,,
base,41,Tony Phillips,Detroit Tigers,,
base,42,Lee Smith,St. Louis Cardinals,,
base,43,Tim Teufel,New York Mets,,
base,44,Lance Dickson RC,Chicago Cubs,,
base,45,Greg Litton,San Francisco Giants,,
base,46,Ted Higuera,Milwaukee Brewers,,
base,47,Edgar Martinez,Seattle Mariners,,
base,48,Steve Avery,Atlanta Braves,,
base,49,Walt Weiss,Oakland Athletics,,
base,50,David Segui,Baltimore Orioles,,
base,51,Andy Benes,San Diego Padres,,
base,52,Karl Rhodes,Houston Astros,,
base,53,Neal Heaton,Pittsburgh Pirates,,
base,54,Danny Gladden,Minnesota Twins,,
base,55,Luis Rivera,Boston Red Sox,,
base,56,Kevin Brown,Texas Rangers,,
base,57,Frank Thomas,Chicago White Sox,,
base,58,Terry Mulholland,Philadelphia Phillies,,
base,59,Dick Schofield,California Angels,,
base,60,Ron Darling,New York Mets,,
base,61,"Sandy Alomar, Jr.",Cleveland Indians,,
base,62,Dave Stieb,Toronto Blue Jays,,
base,63,Alan Trammell,Detroit Tigers,,
base,64,Matt Nokes,New York Yankees,,
base,65,Lenny Harris,Los Angeles Dodgers,,
base,66,Milt Thompson,St. Louis Cardinals,,
base,67,Storm Davis,Kansas City Royals,,
base,68,Joe Oliver,Cincinnati Reds,,
base,69,Andres Galarraga,Montreal Expos,,
base,70,Ozzie Guillen,Chicago White Sox,,
base,71,Ken Howell,Philadelphia Phillies,,
base,72,Garry Templeton,San Diego Padres,,
base,73,Derrick May,Chicago Cubs,,
base,74,Xavier Hernandez,Houston Astros,,
base,75,Dave Parker,Milwaukee Brewers,,
base,76,Rick Aguilera,Minnesota Twins,,
base,77,Robby Thompson,San Francisco Giants,,
base,78,Pete Incaviglia,Texas Rangers,,
base,79,Bob Welch,Oakland Athletics,,
base,80,Randy Milligan,Baltimore Orioles,,
base,81,Chuck Finley,California Angels,,
base,82,Alvin Davis,Seattle Mariners,,
base,83,Tim Naehring,Boston Red Sox,,
base,84,Jay Bell,Pittsburgh Pirates,,
base,85,Joe Magrane,St. Louis Cardinals,,
base,86,Howard Johnson,New York Mets,,
base,87,Jack McDowell,Chicago White Sox,,
base,88,Kevin Seitzer,Kansas City Royals,,
base,89,Bruce Ruffin,Philadelphia Phillies,,
base,90,Fernando Valenzuela,Los Angeles Dodgers,,
base,91,Terry Kennedy,San Francisco Giants,,
base,92,Barry Larkin,Cincinnati Reds,,
base,93,Larry Walker,Montreal Expos,,
base,94,Luis Salazar,Chicago Cubs,,
base,95,Gary Sheffield,Milwaukee Brewers,,
base,96,Bobby Witt,Texas Rangers,,
base,97,Lonnie Smith,Atlanta Braves,,
base,98,Bryan Harvey,California Angels,,
base,99,Mookie Wilson,Toronto Blue Jays,,
base,100,Dwight Gooden,New York Mets,,
base,101,Lou Whitaker,Detroit Tigers,,
base,102,Ron Karkovice,Chicago White Sox,,
base,103,Jesse Barfield,New York Yankees,,
base,104,Jose DeJesus,Philadelphia Phillies,,
base,105,Benito Santiago,San Diego Padres,,
base,106,Brian Holman,Seattle Mariners,,
base,107,Rafael Ramirez,Houston Astros,,
base,108,Ellis Burks,Boston Red Sox,,
base,109,Mike Bielecki,Chicago Cubs,,
base,110,Kirby Puckett,Minnesota Twins,,
base,111,Terry Shumpert,Kansas City Royals,,
base,112,Chuck Crim,Milwaukee Brewers,,
base,113,Todd Benzinger,Cincinnati Reds,,
base,114,Brian Barnes RC,Montreal Expos,,
base,115,Carlos Baerga,Cleveland Indians,,
base,116,Kal Daniels,Los Angeles Dodgers,,
base,117,Dave Johnson,Baltimore Orioles,,
base,118,Andy Van Slyke,Pittsburgh Pirates,,
base,119,John Burkett,San Francisco Giants,,
base,120,Rickey Henderson,Oakland Athletics,,
base,121,Tim Jones,St. Louis Cardinals,,
base,122,Daryl Irvine RC,Boston Red Sox,,
base,123,Ruben Sierra,Texas Rangers,,
base,124,Jim Abbott,California Angels,,
base,125,Daryl Boston,New York Mets,,
base,126,Greg Maddux,Chicago Cubs,,
base,127,Von Hayes,Philadelphia Phillies,,
base,128,Mike Fitzgerald,Montreal Expos,,
base,129,Wayne Edwards,Chicago White Sox,,
base,130,Greg Briley,Seattle Mariners,,
base,131,Rob Dibble,Cincinnati Reds,,
base,132,Gene Larkin,Minnesota Twins,,
base,133,David Wells,Toronto Blue Jays,,
base,134,Steve Balboni,New York Yankees,,
base,135,Greg Vaughn,Milwaukee Brewers,,
base,136,Mark Davis,Kansas City Royals,,
base,137,Dave Rhode,Houston Astros,,
base,138,Eric Show,Oakland Athletics,,
base,139,Bobby Bonilla,Pittsburgh Pirates,,
base,140,Dana Kiecker,Boston Red Sox,,
base,141,Gary Pettis,Texas Rangers,,
base,142,Dennis Boyd,Montreal Expos,,
base,143,Mike Benjamin,San Francisco Giants,,
base,144,Luis Polonia,California Angels,,
base,145,Doug Jones,Cleveland Indians,,
base,146,Al Newman,Minnesota Twins,,
base,147,Alex Fernandez,Chicago White Sox,,
base,148,Bill Doran,Cincinnati Reds,,
base,149,Kevin Elster,New York Mets,,
base,150,Lenny Dykstra,Philadelphia Phillies,,
base,151,Mike Gallego,Oakland Athletics,,
base,152,Tim Belcher,Los Angeles Dodgers,,
base,153,Jay Buhner,Seattle Mariners,,
base,154,Ozzie Smith,St. Louis Cardinals,,Uncorrected error: Rookie card is listed as 1978
base,155,Jose Canseco,Oakland Athletics,,
base,156,Gregg Olson,Baltimore Orioles,,
base,157,Charlie O'Brien,New York Mets,,
base,158,Frank Tanana,Detroit Tigers,,
base,159,George Brett,Kansas City Royals,,
base,160,Jeff Huson,Texas Rangers,,
base,161,Kevin Tapani,Minnesota Twins,,
base,162,Jerome Walton,Chicago Cubs,,
base,163,Charlie Hayes,Philadelphia Phillies,,
base,164,Chris Bosio,Milwaukee Brewers,,
base,165,Chris Sabo,Cincinnati Reds,,
base,166,Lance Parrish,California Angels,,
base,167,Don Robinson,San Francisco Giants,,
base,168,Manny Lee,Toronto Blue Jays,,
base,169,Dennis Rasmussen,San Diego Padres,,
base,170,Wade Boggs,Boston Red Sox,,
base,171,Bob Geren,New York Yankees,,
base,172,Mackey Sasser,New York Mets,,
base,173,Julio Franco,Texas Rangers,,
base,174,Otis Nixon,Montreal Expos,,
base,175,Bert Blyleven,California Angels,,
base,176,Craig Biggio,Houston Astros,,
base,177,Eddie Murray,Los Angeles Dodgers,,
base,178,Randy Tomlin RC,Pittsburgh Pirates,,
base,179,Tino Martinez,Seattle Mariners,,
base,180,Carlton Fisk,Chicago White Sox,,
base,181,Dwight Smith,Chicago Cubs,,
base,182,Scott Garrelts,San Francisco Giants,,
base,183,Jim Gantner,Milwaukee Brewers,,
base,184,Dickie Thon,Philadelphia Phillies,,
base,185,John Farrell,Cleveland Indians,,
base,186,Cecil Fielder,Detroit Tigers,,
base,187,Glenn Braggs,Cincinnati Reds,,
