setKey,cardNumber,player,team,subset,variant
base,1,Nolan Ryan,Texas Rangers,,
base,2,Rickey Henderson RB,Oakland Athletics,Record Breaker,
base,3,Jeff Reardon RB,Boston Red Sox,Record Breaker,
base,4,Nolan Ryan RB,Texas Rangers,Record Breaker,
base,5,Dave Winfield RB,California Angels,Record Breaker,
base,6,Brien Taylor DPK RC,New York Yankees,Draft Pick,
base,7,Jim Olander RC,Milwaukee Brewers,,
base,8,Bryan Hickerson RC,San Francisco Giants,,
base,9,Jon Farrell DPK RC,Pittsburgh Pirates,Draft Pick,
base,10,Wade Boggs,Boston Red Sox,,
base,11,Jack McDowell,Chicago White Sox,,
base,12,Luis Gonzalez ASR,Houston Astros,,
base,13,Mike Scioscia,Los Angeles Dodgers,,
base,14,Wes Chamberlain,Philadelphia Phillies,,
base,15,Denny Martinez,Montreal Expos,,
base,16,Jeff Montgomery,Kansas City Royals,,
base,17,Randy Milligan,Baltimore Orioles,,
base,18,Greg Cadaret,New York Yankees,,
base,19,Jamie Quirk,Oakland Athletics,,
base,20,Bip Roberts,San Diego Padres,,
base,21,Buck Rodgers MGR,California Angels,Manager,
base,22,Bill Wegman,Milwaukee Brewers,,
base,23,Chuck Knoblauch ASR,Minnesota Twins,,
base,24,Randy Myers,Cincinnati Reds,,
base,25,Ron Gant,Atlanta Braves,,
base,26,Mike Bielecki,Atlanta Braves,,
base,27,Juan Gonzalez,Texas Rangers,,
base,28,Mike Schooler,Seattle Mariners,,
base,29,Mickey Tettleton,Detroit Tigers,,
base,30,John Kruk,Philadelphia Phillies,,
base,31,Bryn Smith,St. Louis Cardinals,,
base,32,Chris Nabholz,Montreal Expos,,
base,33,Carlos Baerga,Cleveland Indians,,
base,34,Jeff Juden,Houston Astros,,
base,35,Dave Righetti,San Francisco Giants,,
base,36,Scott Ruffcorn DPK RC,Chicago White Sox,Draft Pick,
base,37,Luis Polonia,California Angels,,
base,38,Tom Candiotti,Toronto Blue Jays,,
base,39,Greg Olson,Atlanta Braves,,
base,40,Cal Ripken,Baltimore Orioles,,
base,41,Craig Lefferts,San Diego Padres,,
base,42,Mike Macfarlane,Kansas City Royals,,
base,43,Jose Lind,Pittsburgh Pirates,,
base,44,Rick Aguilera,Minnesota Twins,,
base,45,Gary Carter,Los Angeles Dodgers,,
base,46,Steve Farr,New York Yankees,,
base,47,Rex Hudler,St. Louis Cardinals,,
base,48,Scott Scudder,Cincinnati Reds,,
base,49,Damon Berryhill,Atlanta Braves,,
base,50,Ken Griffey Jr.,Seattle Mariners,,
base,51,Tom Runnells MGR,Montreal Expos,Manager,
base,52,Juan Bell,Baltimore Orioles,,
base,53,Tommy Gregg,Atlanta Braves,,UER
base,54,David Wells,Toronto Blue Jays,,
base,55,Rafael Palmeiro,Texas Rangers,,
base,56,Charlie O'Brien,New York Mets,,UER
base,57,Donn Pall,Chicago White Sox,,
base,58,1992 Top Prospects Catchers (Brad Ausmus / Jim Campanis / Dave Nilsson / Doug Robbins) TP RC,New York Yankees / Seattle Mariners / Milwaukee Brewers / Baltimore Orioles,Top Prospects,
base,59,Mo Vaughn,Boston Red Sox,,
base,60,Tony Fernandez,San Diego Padres,,
base,61,Paul O'Neill,Cincinnati Reds,,
base,62,Gene Nelson,Oakland Athletics,,UER
base,63,Randy Ready,Philadelphia Phillies,,
base,64,Bob Kipper,Pittsburgh Pirates,,
base,65,Willie McGee,San Francisco Giants,,
base,66,Scott Stahoviak DPK RC,Minnesota Twins,Draft Pick,
base,67,Luis Salazar,Chicago Cubs,,
base,68,Marvin Freeman,Atlanta Braves,,
base,69,Kenny Lofton,Houston Astros,,
base,70,Gary Gaetti,California Angels,,
base,71,Erik Hanson,Seattle Mariners,,
base,72,Eddie Zosky,Toronto Blue Jays,,
