setKey,cardNumber,player,team,subset,variant
base,1,Steve Broussard,Atlanta Falcons,,
base,2,Rick Bryan,Atlanta Falcons,,
base,3,Scott Case,Atlanta Falcons,,
base,4,Darion Conner,Atlanta Falcons,,
base,5,Bill Fralic,Atlanta Falcons,,
base,6,Moe Gardner,Atlanta Falcons,,
base,7,Tim Green,Atlanta Falcons,,
base,8,Michael Haynes,Atlanta Falcons,,
base,9,Chris Hinton,Atlanta Falcons,,
base,10,Mike Kenn,Atlanta Falcons,,
base,11,Tim McKyer,Atlanta Falcons,,
base,12,Chris Miller,Atlanta Falcons,,
base,13,Erric Pegram,Atlanta Falcons,,
base,14,Mike Pritchard,Atlanta Falcons,,
base,15,Andre Rison,Atlanta Falcons,,
base,16,Jessie Tuggle,Atlanta Falcons,,
base,17,Carlton Bailey RC,Buffalo Bills,,
base,18,Howard Ballard,Buffalo Bills,,
base,19,Cornelius Bennett,Buffalo Bills,,
base,20,Shane Conlan,Buffalo Bills,,
base,21,Kenneth Davis,Buffalo Bills,,
base,22,Kent Hull,Buffalo Bills,,
base,23,Mark Kelso,Buffalo Bills,,
base,24,James Lofton,Buffalo Bills,,
base,25,Keith McKeller,Buffalo Bills,,
base,26,Nate Odomes,Buffalo Bills,,
base,27,Jim Ritcher,Buffalo Bills,,
base,28,Leon Seals,Buffalo Bills,,
base,29,Darryl Talley,Buffalo Bills,,
base,30,Steve Tasker,Buffalo Bills,,
base,31,Thurman Thomas,Buffalo Bills,,
base,32,Will Wolford,Buffalo Bills,,
base,33,Jeff Wright,Buffalo Bills,,
base,34,Neal Anderson,Chicago Bears,,
base,35,Trace Armstrong,Chicago Bears,,
base,36,Mark Carrier,Chicago Bears,,
base,37,Wendell Davis,Chicago Bears,,
base,38,Richard Dent,Chicago Bears,,
base,39,Shaun Gayle,Chicago Bears,,
base,40,Jim Harbaugh,Chicago Bears,,
base,41,Jay Hilgenberg,Chicago Bears,,
base,42,Darren Lewis,Chicago Bears,,
base,43,Steve McMichael,Chicago Bears,,
base,44,Anthony Morgan,Chicago Bears,,
base,45,Brad Muster,Chicago Bears,,
base,46,William Perry,Chicago Bears,,
base,47,John Roper,Chicago Bears,,
base,48,Lemuel Stinson,Chicago Bears,,
base,49,Tom Waddle,Chicago Bears,,
base,50,Donnell Woolford,Chicago Bears,,
base,51,Leo Barker RC,Cincinnati Bengals,,
base,52,Eddie Brown,Cincinnati Bengals,,Uncorrected error: David Fulcher pictured on back; birth date should read December 18
base,53,James Francis,Cincinnati Bengals,,
base,54,David Fulcher,Cincinnati Bengals,,Uncorrected error: Eddie Brown pictured on back
base,55,David Grant,Cincinnati Bengals,,
base,56,Harold Green,Cincinnati Bengals,,
base,57,Rodney Holman,Cincinnati Bengals,,
base,58,Lee Johnson,Cincinnati Bengals,,
base,59,Tim Krumrie,Cincinnati Bengals,,
base,60,Tim McGee,Cincinnati Bengals,,
base,61,Alonzo Mitz RC,Cincinnati Bengals,,
base,62,Anthony Munoz,Cincinnati Bengals,,
base,63,Alfred Williams,Cincinnati Bengals,,
base,64,Stephen Braggs,Cleveland Browns,,
base,65,Richard Brown RC,Cleveland Browns,,
base,66,Randy Hilliard RC,Cleveland Browns,,
base,67,Leroy Hoard,Cleveland Browns,,
base,68,Michael Jackson SOMISS,Cleveland Browns,,
base,69,Mike Johnson,Cleveland Browns,,
base,70,James Jones,Cleveland Browns,,
base,71,Tony Jones,Cleveland Browns,,
base,72,Ed King,Cleveland Browns,,
base,73,Kevin Mack,Cleveland Browns,,
base,74,Clay Matthews Jr.,Cleveland Browns,,
base,75,Eric Metcalf,Cleveland Browns,,
base,76,Vince Newsome,Cleveland Browns,,
base,77,Steve Beuerlein,Dallas Cowboys,,
base,78,Larry Brown,Dallas Cowboys,,
base,79,Tony Casillas,Dallas Cowboys,,
base,80,Alvin Harper,Dallas Cowboys,,
base,81,Issiac Holt,Dallas Cowboys,,
base,82,Ray Horton,Dallas Cowboys,,
base,83,Michael Irvin,Dallas Cowboys,,
base,84,Daryl Johnston,Dallas Cowboys,,
base,85,Kelvin Martin,Dallas Cowboys,,
base,86,Ken Norton Jr.,Dallas Cowboys,,
base,87,Jay Novacek,Dallas Cowboys,,
base,88,Emmitt Smith,Dallas Cowboys,,
base,89,Vinson Smith RC,Dallas Cowboys,,
base,90,Mark Stepnoski,Dallas Cowboys,,
base,91,Tony Tolbert,Dallas Cowboys,,
base,92,Alexander Wright,Dallas Cowboys,,
base,93,Steve Atwater,Denver Broncos,,
base,94,Tyrone Braxton,Denver Broncos,,
base,95,Michael Brooks,Denver Broncos,,
base,96,Mike Croel,Denver Broncos,,
base,97,John Elway,Denver Broncos,,
base,98,Simon Fletcher,Denver Broncos,,
base,99,Gaston Green,Denver Broncos,,
base,100,Mark Jackson,Denver Broncos,,
base,101,Keith Kartz,Denver Broncos,,
base,102,Greg Kragen,Denver Broncos,,
base,103,Greg Lewis,Denver Broncos,,
base,104,Karl Mecklenburg,Denver Broncos,,
base,105,Derek Russell,Denver Broncos,,
base,106,Steve Sewell,Denver Broncos,,
base,107,Dennis Smith,Denver Broncos,,
base,108,David Treadwell,Denver Broncos,,
base,109,Kenny Walker,Denver Broncos,,
base,110,Michael Young,Denver Broncos,,
base,111,Jerry Ball,Detroit Lions,,
base,112,Bennie Blades,Detroit Lions,,
base,113,Lomas Brown,Detroit Lions,,
base,114,Scott Conover RC,Detroit Lions,,
base,115,Ray Crockett,Detroit Lions,,
base,116,Mel Gray,Detroit Lions,,
base,117,Willie Green,Detroit Lions,,
base,118,Erik Kramer,Detroit Lions,,
base,119,Dan Owens,Detroit Lions,,
base,120,Rodney Peete,Detroit Lions,,
base,121,Brett Perriman,Detroit Lions,,
base,122,Barry Sanders,Detroit Lions,,
base,123,Chris Spielman,Detroit Lions,,
base,124,Marc Spindler,Detroit Lions,,
base,125,William White,Detroit Lions,,
base,126,Tony Bennett,Green Bay Packers,,
base,127,Matt Brock,Green Bay Packers,,
base,128,LeRoy Butler,Green Bay Packers,,
base,129,Chuck Cecil,Green Bay Packers,,
base,130,Johnny Holland,Green Bay Packers,,
base,131,Perry Kemp,Green Bay Packers,,
base,132,Don Majkowski,Green Bay Packers,,
base,133,Tony Mandarich,Green Bay Packers,,
base,134,Brian Noble,Green Bay Packers,,
base,135,Bryce Paup,Green Bay Packers,,
base,136,Sterling Sharpe,Green Bay Packers,,
base,137,Darrell Thompson,Green Bay Packers,,
base,138,Mike Tomczak,Green Bay Packers,,
base,139,Vince Workman,Green Bay Packers,,
base,140,Ray Childress,Houston Oilers,,
base,141,Cris Dishman,Houston Oilers,,
base,142,Curtis Duncan,Houston Oilers,,
base,143,William Fuller,Houston Oilers,,
base,144,Ernest Givins,Houston Oilers,,
base,145,Haywood Jeffires,Houston Oilers,,
base,146,Sean Jones,Houston Oilers,,
base,147,Lamar Lathon,Houston Oilers,,
base,148,Bruce Matthews,Houston Oilers,,
base,149,Bubba McDowell,Houston Oilers,,
base,150,Johnny Meads,Houston Oilers,,
base,151,Warren Moon,Houston Oilers,,
base,152,Mike Munchak,Houston Oilers,,
base,153,Bo Orlando RC,Houston Oilers,,
