setKey,cardNumber,player,team,subset,variant
base,1,Stacey Augmon,Atlanta Hawks,Series One,
base,2,Mookie Blaylock,Atlanta Hawks,Series One,
base,3,Duane Ferrell,Atlanta Hawks,Series One,
base,4,Paul Graham,Atlanta Hawks,Series One,
base,5,Adam Keefe,Atlanta Hawks,Series One,
base,6,Jon Koncak,Atlanta Hawks,Series One,
base,7,Dominique Wilkins,Atlanta Hawks,Series One,
base,8,Kevin Willis,Atlanta Hawks,Series One,
base,9,Alaa Abdelnaby,Boston Celtics,Series One,
base,10,Dee Brown,Boston Celtics,Series One,
base,11,Sherman Douglas,Boston Celtics,Series One,
base,12,Rick Fox,Boston Celtics,Series One,
base,13,Kevin Gamble,Boston Celtics,Series One,
base,14,Reggie Lewis,Boston Celtics,Series One,
base,15,Xavier McDaniel,Boston Celtics,Series One,
base,16,Robert Parish,Boston Celtics,Series One,
base,17,Muggsy Bogues,Charlotte Hornets,Series One,
base,18,Dell Curry,Charlotte Hornets,Series One,
base,19,Kenny Gattison,Charlotte Hornets,Series One,
base,20,Kendall Gill,Charlotte Hornets,Series One,
base,21,Larry Johnson,Charlotte Hornets,Series One,
base,22,Alonzo Mourning,Charlotte Hornets,Series One,
base,23,Johnny Newman,Charlotte Hornets,Series One,
base,24,David Wingate,Charlotte Hornets,Series One,
base,25,B.J. Armstrong,Chicago Bulls,Series One,
base,26,Bill Cartwright,Chicago Bulls,Series One,
base,27,Horace Grant,Chicago Bulls,Series One,
base,28,Michael Jordan,Chicago Bulls,Series One,
base,29,Stacey King,Chicago Bulls,Series One,
base,30,John Paxson,Chicago Bulls,Series One,
base,31,Will Perdue,Chicago Bulls,Series One,
base,32,Scottie Pippen,Chicago Bulls,Series One,
base,33,Scott Williams,Chicago Bulls,Series One,
base,34,Terrell Brandon,Cleveland Cavaliers,Series One,
base,35,Brad Daugherty,Cleveland Cavaliers,Series One,
base,36,Craig Ehlo,Cleveland Cavaliers,Series One,
base,37,Danny Ferry,Cleveland Cavaliers,Series One,
base,38,Larry Nance,Cleveland Cavaliers,Series One,
base,39,Mark Price,Cleveland Cavaliers,Series One,
base,40,Mike Sanders,Cleveland Cavaliers,Series One,
base,41,Gerald Wilkins,Cleveland Cavaliers,Series One,
base,42,John Williams,Cleveland Cavaliers,Series One,
base,43,Terry Davis,Dallas Mavericks,Series One,
base,44,Derek Harper,Dallas Mavericks,Series One,
base,45,Mike Iuzzolino,Dallas Mavericks,Series One,
base,46,Jim Jackson,Dallas Mavericks,Series One,
base,47,Sean Rooks,Dallas Mavericks,Series One,
base,48,Doug Smith,Dallas Mavericks,Series One,
base,49,Randy White,Dallas Mavericks,Series One,
base,50,Mahmoud Abdul-Rauf,Denver Nuggets,Series One,
base,51,LaPhonso Ellis,Denver Nuggets,Series One,
base,52,Marcus Liberty,Denver Nuggets,Series One,
base,53,Mark Macon,Denver Nuggets,Series One,
base,54,Dikembe Mutombo,Denver Nuggets,Series One,
base,55,Robert Pack,Denver Nuggets,Series One,
base,56,Bryant Stith,Denver Nuggets,Series One,
base,57,Reggie Williams,Denver Nuggets,Series One,
base,58,Mark Aguirre,Detroit Pistons,Series One,
base,59,Joe Dumars,Detroit Pistons,Series One,
base,60,Bill Laimbeer,Detroit Pistons,Series One,
base,61,Terry Mills,Detroit Pistons,Series One,
base,62,Olden Polynice,Detroit Pistons,Series One,
base,63,Alvin Robertson,Detroit Pistons,Series One,
base,64,Dennis Rodman,Detroit Pistons,Series One,
base,65,Isiah Thomas,Detroit Pistons,Series One,
base,66,Victor Alexander,Golden State Warriors,Series One,
base,67,Tim Hardaway,Golden State Warriors,Series One,
base,68,Tyrone Hill,Golden State Warriors,Series One,
base,69,Byron Houston,Golden State Warriors,Series One,
base,70,Sarunas Marciulionis,Golden State Warriors,Series One,
base,71,Chris Mullin,Golden State Warriors,Series One,
base,72,Billy Owens,Golden State Warriors,Series One,
base,73,Latrell Sprewell,Golden State Warriors,Series One,
base,74,Scott Brooks,Houston Rockets,Series One,
base,75,Matt Bullard,Houston Rockets,Series One,
base,76,Carl Herrera,Houston Rockets,Series One,
base,77,Robert Horry,Houston Rockets,Series One,
base,78,Vernon Maxwell,Houston Rockets,Series One,
base,79,Hakeem Olajuwon,Houston Rockets,Series One,
base,80,Kenny Smith,Houston Rockets,Series One,
base,81,Otis Thorpe,Houston Rockets,Series One,
base,82,Dale Davis,Indiana Pacers,Series One,
base,83,Vern Fleming,Indiana Pacers,Series One,
base,84,George McCloud,Indiana Pacers,Series One,
base,85,Reggie Miller,Indiana Pacers,Series One,
base,86,Sam Mitchell,Indiana Pacers,Series One,
base,87,Pooh Richardson,Indiana Pacers,Series One,
base,88,Detlef Schrempf,Indiana Pacers,Series One,
base,89,Rik Smits,Indiana Pacers,Series One,
base,90,Gary Grant,Los Angeles Clippers,Series One,
base,91,Ron Harper,Los Angeles Clippers,Series One,
