setKey,cardNumber,player,team,subset,variant
base,1,Curtis Conway RC,Chicago Bears,Premier Prospects,FOIL
base,2,John Copeland RC,Cincinnati Bengals,Premier Prospects,FOIL
base,3,Kevin Williams RC,Dallas Cowboys,Premier Prospects,FOIL
base,4,Dan Williams RC,Denver Broncos,Premier Prospects,FOIL
base,5,Patrick Bates RC,Los Angeles Raiders,Premier Prospects,FOIL
base,6,Jerome Bettis RC,Los Angeles Rams,Premier Prospects,FOIL
base,7,O.J. McDuffie RC,Miami Dolphins,Premier Prospects,FOIL
base,8,Robert Smith RC,Minnesota Vikings,Premier Prospects,FOIL
base,9,Drew Bledsoe RC,New England Patriots,Premier Prospects,FOIL
base,10,Irv Smith RC,New Orleans Saints,Premier Prospects,FOIL
base,11,Marvin Jones RC,New York Jets,Premier Prospects,FOIL
base,12,Victor Bailey RC,Philadelphia Eagles,Premier Prospects,FOIL
base,13,Garrison Hearst RC,Phoenix Cardinals,Premier Prospects,FOIL
base,14,Natrone Means RC,San Diego Chargers,Premier Prospects,FOIL
base,15,Todd Kelly RC,San Francisco 49ers,Premier Prospects,FOIL
base,16,Rick Mirer RC,Seattle Seahawks,Premier Prospects,FOIL
base,17,Eric Curry RC,Tampa Bay Buccaneers,Premier Prospects,FOIL
base,18,Reggie Brooks RC,Washington Redskins,Premier Prospects,FOIL
base,19,Eric Dickerson,Atlanta Falcons,,
base,20,Roger Harper RC,Atlanta Falcons,Rookie,
base,21,Michael Haynes,Atlanta Falcons,,
base,22,Bobby Hebert,Atlanta Falcons,,
base,23,Lincoln Kennedy RC,Atlanta Falcons,Rookie,
base,24,Chris Miller,Atlanta Falcons,,
base,25,Mike Pritchard,Atlanta Falcons,,
base,26,Andre Rison,Atlanta Falcons,Pro Bowl,
base,27,Deion Sanders,Atlanta Falcons,Pro Bowl,
base,28,Cornelius Bennett,Buffalo Bills,Pro Bowl,
base,29,Kenneth Davis,Buffalo Bills,,
base,30,Henry Jones,Buffalo Bills,Pro Bowl,
base,31,Jim Kelly,Buffalo Bills,Pro Bowl,
base,32,John Parrella RC,Buffalo Bills,Rookie,
base,33,Andre Reed,Buffalo Bills,Pro Bowl,
base,34,Bruce Smith,Buffalo Bills,Pro Bowl,
base,35,Thomas Smith RC,Buffalo Bills,Rookie,
base,36,Thurman Thomas,Buffalo Bills,Pro Bowl,
base,37,Neal Anderson,Chicago Bears,,
base,38,Myron Baker RC,Chicago Bears,Rookie,
base,39,Mark Carrier,Chicago Bears,,
base,40,Richard Dent,Chicago Bears,,
base,41,Chris Gedney RC,Chicago Bears,Rookie,
base,42,Jim Harbaugh,Chicago Bears,,
base,43,Craig Heyward,Chicago Bears,,
base,44,Carl Simpson RC,Chicago Bears,Rookie,
base,45,Alonzo Spellman,Chicago Bears,,
base,46,Derrick Fenner,Cincinnati Bengals,,
base,47,Harold Green,Cincinnati Bengals,Pro Bowl,
base,48,David Klingler,Cincinnati Bengals,,
base,49,Ricardo McDonald,Cincinnati Bengals,,
base,50,Tony McGee RC,Cincinnati Bengals,Rookie,
base,51,Carl Pickens,Cincinnati Bengals,,
base,52,Steve Tovar RC,Cincinnati Bengals,Rookie,
base,53,Alfred Williams,Cincinnati Bengals,,
base,54,Darryl Williams,Cincinnati Bengals,,
base,55,Jerry Ball,Cleveland Browns,,
base,56,Michael Caldwell RC,Cleveland Browns,Rookie,
base,57,Mark Carrier,Cleveland Browns,,
base,58,Steve Everitt RC,Cleveland Browns,Rookie,
base,59,Dan Footman RC,Cleveland Browns,Rookie,
base,60,Pepper Johnson,Cleveland Browns,,
base,61,Bernie Kosar,Cleveland Browns,,
base,62,Eric Metcalf,Cleveland Browns,,
base,63,Michael Dean Perry,Cleveland Browns,,
base,64,Troy Aikman,Dallas Cowboys,Pro Bowl,
base,65,Charles Haley,Dallas Cowboys,,
base,66,Michael Irvin,Dallas Cowboys,Pro Bowl,
base,67,Robert Jones,Dallas Cowboys,,
base,68,Derrick Lassic RC,Dallas Cowboys,Rookie,
base,69,Russell Maryland,Dallas Cowboys,,
base,70,Ken Norton,Dallas Cowboys,,
base,71,Darrin Smith RC,Dallas Cowboys,Rookie,
base,72,Emmitt Smith,Dallas Cowboys,Pro Bowl,
base,73,Steve Atwater,Denver Broncos,Pro Bowl,
base,74,Rod Bernstine,Denver Broncos,,
base,75,Jason Elam RC,Denver Broncos,Rookie,
base,76,John Elway,Denver Broncos,,
base,77,Simon Fletcher,Denver Broncos,,
base,78,Tommy Maddox,Denver Broncos,,
base,79,Glyn Milburn RC,Denver Broncos,Rookie,
base,80,Derek Russell,Denver Broncos,,
base,81,Shannon Sharpe,Denver Broncos,Pro Bowl,
base,82,Bennie Blades,Detroit Lions,,
base,83,Willie Green,Detroit Lions,,
base,84,Antonio London RC,Detroit Lions,Rookie,
base,85,Ryan McNeil RC,Detroit Lions,Rookie,
base,86,Herman Moore,Detroit Lions,,
base,87,Rodney Peete,Detroit Lions,,
base,88,Barry Sanders,Detroit Lions,Pro Bowl,
base,89,Chris Spielman,Detroit Lions,,
base,90,Pat Swilling,Detroit Lions,Pro Bowl,
base,91,Mark Brunell RC,Green Bay Packers,Rookie,
base,92,Terrell Buckley,Green Bay Packers,,
base,93,Brett Favre,Green Bay Packers,Pro Bowl,
base,94,Jackie Harris,Green Bay Packers,,
base,95,Sterling Sharpe,Green Bay Packers,Pro Bowl,
base,96,John Stephens,Green Bay Packers,,
base,97,Wayne Simmons RC,Green Bay Packers,Rookie,
base,98,George Teague RC,Green Bay Packers,Rookie,
base,99,Reggie White,Green Bay Packers,Pro Bowl,
base,100,Micheal Barrow RC,Houston Oilers,Rookie,
base,101,Cody Carlson,Houston Oilers,,
base,102,Ray Childress,Houston Oilers,Pro Bowl,
base,103,Brad Hopkins RC,Houston Oilers,Rookie,
base,104,Haywood Jeffires,Houston Oilers,Pro Bowl,
base,105,Wilber Marshall,Houston Oilers,Pro Bowl,
base,106,Warren Moon,Houston Oilers,Pro Bowl,
base,107,Webster Slaughter,Houston Oilers,,
base,108,Lorenzo White,Houston Oilers,Pro Bowl,
base,109,John Baylor,Indianapolis Colts,,
base,110,Duane Bickett,Indianapolis Colts,,
base,111,Quentin Coryatt,Indianapolis Colts,,
base,112,Steve Emtman,Indianapolis Colts,,
base,113,Jeff George,Indianapolis Colts,,
base,114,Jessie Hester,Indianapolis Colts,,
base,115,Anthony Johnson,Indianapolis Colts,,
base,116,Reggie Langhorne,Indianapolis Colts,,
base,117,Roosevelt Potts RC,Indianapolis Colts,Rookie,
base,118,Marcus Allen,Kansas City Chiefs,,
base,119,J.J. Birden,Kansas City Chiefs,,
base,120,Willie Davis,Kansas City Chiefs,,
base,121,Jaime Fields RC,Kansas City Chiefs,Rookie,
base,122,Joe Montana,Kansas City Chiefs,,
base,123,Will Shields RC,Kansas City Chiefs,Rookie,
