setKey,cardNumber,player,team,subset,variant
base,1,Steve Avery,Atlanta Braves,,
base,2,Rafael Belliard,Atlanta Braves,,
base,3,Damon Berryhill,Atlanta Braves,,
base,4,Sid Bream,Atlanta Braves,,
base,5,Ron Gant,Atlanta Braves,,
base,6,Tom Glavine,Atlanta Braves,,
base,7,Ryan Klesko,Atlanta Braves,,
base,8,Mark Lemke,Atlanta Braves,,
base,9,Javier Lopez,Atlanta Braves,,
base,10,Greg Olson,Atlanta Braves,,
base,11,Terry Pendleton,Atlanta Braves,,
base,12,Deion Sanders,Atlanta Braves,,
base,13,Mike Stanton,Atlanta Braves,,
base,14,Paul Assenmacher,Chicago Cubs,,
base,15,Steve Buechele,Chicago Cubs,,
base,16,Frank Castillo,Chicago Cubs,,
base,17,Shawon Dunston,Chicago Cubs,,
base,18,Mark Grace,Chicago Cubs,,
base,19,Derrick May,Chicago Cubs,,
base,20,Chuck McElroy,Chicago Cubs,,
base,21,Mike Morgan,Chicago Cubs,,
base,22,Bob Scanlan,Chicago Cubs,,
base,23,Dwight Smith,Chicago Cubs,,
base,24,Sammy Sosa,Chicago Cubs,,
base,25,Rick Wilkins,Chicago Cubs,,
base,26,Tim Belcher,Cincinnati Reds,,
base,27,Jeff Branson,Cincinnati Reds,,
base,28,Bill Doran,Cincinnati Reds,,
base,29,Chris Hammond,Cincinnati Reds,,
base,30,Barry Larkin,Cincinnati Reds,,
base,31,Hal Morris,Cincinnati Reds,,
base,32,Joe Oliver,Cincinnati Reds,,
base,33,Jose Rijo,Cincinnati Reds,,
base,34,Bip Roberts,Cincinnati Reds,,
base,35,Chris Sabo,Cincinnati Reds,,
base,36,Reggie Sanders,Cincinnati Reds,,
base,37,Craig Biggio,Houston Astros,,
base,38,Ken Caminiti,Houston Astros,,
base,39,Steve Finley,Houston Astros,,
base,40,Luis Gonzalez,Houston Astros,,
base,41,Juan Guerrero,Houston Astros,,
base,42,Pete Harnisch,Houston Astros,,
base,43,Xavier Hernandez,Houston Astros,,
base,44,Doug Jones,Houston Astros,,
base,45,Al Osuna,Houston Astros,,
base,46,Eddie Taubensee,Houston Astros,,
base,47,Scooter Tucker,Houston Astros,,
base,48,Brian Williams,Houston Astros,,
base,49,Pedro Astacio,Los Angeles Dodgers,,
base,50,Rafael Bournigal RC,Los Angeles Dodgers,,
base,51,Brett Butler,Los Angeles Dodgers,,
base,52,Tom Candiotti,Los Angeles Dodgers,,
base,53,Eric Davis,Los Angeles Dodgers,,
base,54,Lenny Harris,Los Angeles Dodgers,,
base,55,Orel Hershiser,Los Angeles Dodgers,,
base,56,Eric Karros,Los Angeles Dodgers,,
base,57,Pedro Martinez,Los Angeles Dodgers,,"UER: Born 10/25, not 7/25"
base,58,Roger McDowell,Los Angeles Dodgers,,
base,59,Jose Offerman,Los Angeles Dodgers,,
base,60,Mike Piazza,Los Angeles Dodgers,,
base,61,Moises Alou,Montreal Expos,,
base,62,Kent Bottenfield,Montreal Expos,,
base,63,Archi Cianfrocco,Montreal Expos,,
base,64,Greg Colbrunn,Montreal Expos,,
base,65,Wil Cordero,Montreal Expos,,
base,66,Delino DeShields,Montreal Expos,,
base,67,Darrin Fletcher,Montreal Expos,,
base,68,Ken Hill,Montreal Expos,,
base,69,Chris Nabholz,Montreal Expos,,
base,70,Mel Rojas,Montreal Expos,,
base,71,Larry Walker,Montreal Expos,,
base,72,Sid Fernandez,New York Mets,,
base,73,John Franco,New York Mets,,
base,74,Dave Gallagher,New York Mets,,
base,75,Todd Hundley,New York Mets,,
base,76,Howard Johnson,New York Mets,,
base,77,Jeff Kent,New York Mets,,
base,78,Eddie Murray,New York Mets,,
base,79,Bret Saberhagen,New York Mets,,
base,80,Chico Walker,New York Mets,,
base,81,Anthony Young,New York Mets,,
base,82,Kyle Abbott,Philadelphia Phillies,,"UER: Born in ""Newburyport"", not ""Newbury Port"""
base,83,"Ruben Amaro, Jr.",Philadelphia Phillies,,
base,84,Juan Bell,Philadelphia Phillies,,
