setKey,cardNumber,player,team,subset,variant
base,1,Dan Wilkinson SR RC,Cincinnati Bengals,Base,
base,2,Antonio Langham SR RC,Cleveland Browns,Base,
base,3,Derrick Alexander SR RC,Cleveland Browns,Base,
base,4,Charles Johnson SR RC,Pittsburgh Steelers,Base,
base,5,Bucky Brooks SR RC,Buffalo Bills,Base,
base,6,Trev Alberts SR RC,Indianapolis Colts,Base,
base,7,Marshall Faulk SR RC,Indianapolis Colts,Base,
base,8,Willie McGinest SR RC,New England Patriots,Base,
base,9,Aaron Glenn SR RC,New York Jets,Base,
base,10,Ryan Yarborough SR RC,New York Jets,Base,
base,11,Greg Hill SR RC,Kansas City Chiefs,Base,
base,12,Sam Adams SR RC,Seattle Seahawks,Base,
base,13,John Thierry SR RC,Chicago Bears,Base,
base,14,Johnnie Morton SR RC,Detroit Lions,Base,
base,15,LeShon Johnson SR RC,Green Bay Packers,Base,
base,16,David Palmer SR RC,Minnesota Vikings,Base,
base,17,Trent Dilfer SR RC,Tampa Bay Buccaneers,Base,
base,18,Jamir Miller SR RC,Arizona Cardinals,Base,
base,19,Thomas Lewis SR RC,New York Giants,Base,
base,20,Heath Shuler SR RC,Washington Redskins,Base,
base,21,Wayne Gandy SR RC,Los Angeles Rams,Base,
base,22,Isaac Bruce SR RC,Los Angeles Rams,Base,
base,23,Joe Johnson SR RC,New Orleans Saints,Base,
base,24,Mario Bates SR RC,New Orleans Saints,Base,
base,25,Bryant Young SR RC,San Francisco 49ers,Base,
base,26,William Floyd SR RC,San Francisco 49ers,Base,
base,27,Errict Rhett SR RC,Tampa Bay Buccaneers,Base,
base,28,Chuck Levy SR RC,Arizona Cardinals,Base,
base,29,Darnay Scott SR RC,Cincinnati Bengals,Base,
base,30,Rob Fredrickson SR RC,Los Angeles Raiders,Base,
base,31,Jamir Miller HW,Arizona Cardinals,Base,
base,32,Thomas Lewis HW,New York Giants,Base,
base,33,John Thierry HW,Chicago Bears,Base,
base,34,Sam Adams HW,Seattle Seahawks,Base,
base,35,Joe Johnson HW,New Orleans Saints,Base,
base,36,Bryant Young HW,San Francisco 49ers,Base,
base,37,Wayne Gandy HW,Los Angeles Rams,Base,
base,38,LeShon Johnson HW,Green Bay Packers,Base,
base,39,Mario Bates HW,New Orleans Saints,Base,
base,40,Greg Hill HW,Kansas City Chiefs,Base,
base,41,Andy Heck,Chicago Bears,Base,
base,42,Warren Moon,Minnesota Vikings,Base,
base,43,Jim Everett,New Orleans Saints,Base,
base,44,Bill Romanowski,Philadelphia Eagles,Base,
base,45,Michael Haynes,New Orleans Saints,Base,
base,46,Chris Doleman,Atlanta Falcons,Base,
base,47,Merril Hoge,Chicago Bears,Base,
base,48,Chris Miller,Los Angeles Rams,Base,
base,49,Clyde Simmons,Arizona Cardinals,Base,
base,50,Jeff George,Atlanta Falcons,Base,
base,51,Jeff Burris RC RC,Buffalo Bills,Base,
base,52,Ethan Horton,Washington Redskins,Base,
base,53,Scott Mitchell,Detroit Lions,Base,
base,54,Howard Ballard,Seattle Seahawks,Base,
base,55,Lewis Tillman,Chicago Bears,Base,
base,56,Marion Butts,New England Patriots,Base,
base,57,Erik Kramer,Chicago Bears,Base,
base,58,Ken Norton,San Francisco 49ers,Base,
base,59,Anthony Miller,Denver Broncos,Base,
base,60,Chris Hinton,Minnesota Vikings,Base,
base,61,Ricky Proehl,Arizona Cardinals,Base,
base,62,Craig Heyward,Atlanta Falcons,Base,
base,63,Darryl Talley,Buffalo Bills,Base,
base,64,Tim Worley,Chicago Bears,Base,
base,65,Derrick Fenner,Cincinnati Bengals,Base,
base,66,Jerry Ball,Los Angeles Raiders,Base,
base,67,Darrin Smith,Dallas Cowboys,Base,
base,68,Mike Croel,Denver Broncos,Base,
base,69,Ray Crockett,Denver Broncos,Base,
base,70,Tony Bennett,Indianapolis Colts,Base,
base,71,Webster Slaughter,Houston Oilers,Base,
base,72,Anthony Johnson,New York Jets,Base,
base,73,Charles Mincy,Kansas City Chiefs,Base,
base,74,Calvin Jones RC RC,Los Angeles Raiders,Base,
base,75,Henry Ellard,Washington Redskins,Base,
base,76,Troy Vincent,Miami Dolphins,Base,
base,77,Sean Salisbury,Houston Oilers,Base,
base,78,Pat Harlow,New England Patriots,Base,
base,79,James Williams RC RC,New Orleans Saints,Base,
base,80,Dave Brown,New York Giants,Base,
base,81,Kent Graham,New York Giants,Base,
base,82,Seth Joyner,Arizona Cardinals,Base,
base,83,Deon Figures,Pittsburgh Steelers,Base,
base,84,Stanley Richard,San Diego Chargers,Base,
base,85,Tom Rathman,Los Angeles Raiders,Base,
base,86,Rod Stephens,Seattle Seahawks,Base,
base,87,Ray Seals,Tampa Bay Buccaneers,Base,
base,88,Andre Collins,Washington Redskins,Base,
base,89,Cornelius Bennett,Buffalo Bills,Base,
base,90,Richard Dent,San Francisco 49ers,Base,
base,91,Louis Oliver,Cincinnati Bengals,Base,
base,92,Rodney Peete,Dallas Cowboys,Base,
base,93,Jackie Harris,Tampa Bay Buccaneers,Base,
base,94,Tracy Simien,Kansas City Chiefs,Base,
base,95,Greg Townsend,Los Angeles Raiders,Base,
base,96,Michael Stewart,Miami Dolphins,Base,
base,97,Irving Fryar,Miami Dolphins,Base,
