setKey,cardNumber,player,team,subset,variant
base,1,Billy Wagner,Houston Astros,Rookies & Prospects,
base,2,Chris Widger,Seattle Mariners,Rookies & Prospects,
base,3,Brent Bowers,Toronto Blue Jays,Rookies & Prospects,
base,4,Bob Abreu RC,Houston Astros,Rookies & Prospects,
base,5,Lou Collier RC,Pittsburgh Pirates,Rookies & Prospects,
base,6,Juan Acevedo RC,Colorado Rockies,Rookies & Prospects,
base,7,Jason Kelley RC,Chicago Cubs,Rookies & Prospects,
base,8,Brian Sackinsky,Baltimore Orioles,Rookies & Prospects,
base,9,Scott Christman,Chicago White Sox,Rookies & Prospects,
base,10,Damon Hollins,Atlanta Braves,Rookies & Prospects,
base,11,Willis Otanez RC,Los Angeles Dodgers,Rookies & Prospects,
base,12,Jason Ryan RC,Chicago Cubs,Rookies & Prospects,
base,13,Jason Giambi,Oakland Athletics,Rookies & Prospects,
base,14,Andy Taulbee RC,San Francisco Giants,Rookies & Prospects,
base,15,Mark Thompson,Colorado Rockies,Rookies & Prospects,
base,16,Hugo Pivaral RC,Los Angeles Dodgers,Rookies & Prospects,
base,17,Brien Taylor,New York Yankees,Rookies & Prospects,
base,18,Antonio Osuna,Los Angeles Dodgers,Rookies & Prospects,
base,19,Edgardo Alfonzo,New York Mets,Rookies & Prospects,
base,20,Carl Everett,New York Mets,Rookies & Prospects,
base,21,Matt Drews,New York Yankees,Rookies & Prospects,
base,22,Bartolo Colon RC,Cleveland Indians,Rookies & Prospects,
base,23,Andruw Jones RC,Atlanta Braves,Rookies & Prospects,
base,24,Robert Person RC,New York Mets,Rookies & Prospects,
base,25,Derrek Lee,San Diego Padres,Rookies & Prospects,
base,26,John Ambrose RC,Chicago White Sox,Rookies & Prospects,
base,27,Eric Knowles RC,New York Yankees,Rookies & Prospects,
base,28,Chris Roberts,New York Mets,Rookies & Prospects,
base,29,Don Wengert,Oakland Athletics,Rookies & Prospects,
base,30,Marcus Jensen RC,San Francisco Giants,Rookies & Prospects,
base,31,Brian Barber,St. Louis Cardinals,Rookies & Prospects,
base,32,Kevin Brown,Texas Rangers,Rookies & Prospects,
base,33,Benji Gil,Texas Rangers,Rookies & Prospects,
base,34,Mike Hubbard,Chicago Cubs,Rookies & Prospects,
base,35,Bart Evans RC,Kansas City Royals,Rookies & Prospects,
base,36,Enrique Wilson RC,Cleveland Indians,Rookies & Prospects,
base,37,Brian Buchanan RC,New York Yankees,Rookies & Prospects,
base,38,Ken Ray RC,Kansas City Royals,Rookies & Prospects,
base,39,Micah Franklin RC,Pittsburgh Pirates,Rookies & Prospects,
base,40,Ricky Otero RC,New York Mets,Rookies & Prospects,
base,41,Jason Kendall,Pittsburgh Pirates,Rookies & Prospects,
base,42,Jimmy Hurst,Chicago White Sox,Rookies & Prospects,
base,43,Jerry Wolak RC,Chicago White Sox,Rookies & Prospects,
base,44,Jayson Peterson RC,Chicago Cubs,Rookies & Prospects,
base,45,Allen Battle RC,St. Louis Cardinals,Rookies & Prospects,
base,46,Scott Stahoviak,Minnesota Twins,Rookies & Prospects,
