setKey,cardNumber,player,team,subset,variant
base,1,David Justice,Atlanta Braves,,
base,2,Rene Arocha,St. Louis Cardinals,,
base,3,Sandy Alomar Jr.,Cleveland Indians,,
base,4,Luis Lopez,San Diego Padres,,
base,5,Mike Piazza,Los Angeles Dodgers,,
base,6,Bobby Jones,New York Mets,,
base,7,Damion Easley,California Angels,,
base,8,Barry Bonds,San Francisco Giants,,
base,9,Mike Mussina,Baltimore Orioles,,
base,10,Kevin Seitzer,Milwaukee Brewers,,
base,11,John Smiley,Cincinnati Reds,,
base,12,William Van Landingham,San Francisco Giants,,
base,13,Ron Darling,Oakland Athletics,,
base,14,Walt Weiss,Colorado Rockies,,
base,15,Mike Lansing,Montreal Expos,,
base,16,Allen Watson,St. Louis Cardinals,,
base,17,Aaron Sele,Boston Red Sox,,
base,18,Randy Johnson,Seattle Mariners,,
base,19,Dean Palmer,Texas Rangers,,
base,20,Jeff Bagwell,Houston Astros,,
base,21,Curt Schilling,Philadelphia Phillies,,
base,22,Darrell Whitmore,Florida Marlins,,
base,23,Steve Trachsel,Chicago Cubs,,
base,24,Dan Wilson,Seattle Mariners,,
base,25,Steve Finley,Houston Astros,,
base,26,Bret Boone,Cincinnati Reds,,
base,27,Charles Johnson,Florida Marlins,,
base,28,Mike Stanton,Atlanta Braves,,
base,29,Ismael Valdes,Los Angeles Dodgers,,
base,30,Salomon Torres,San Francisco Giants,,
base,31,Eric Anthony,Seattle Mariners,,
base,32,Spike Owen,California Angels,,
base,33,Joey Cora,Chicago White Sox,,
base,34,Robert Eenhoorn,New York Yankees,,
base,35,Rick White,Pittsburgh Pirates,,
base,36,Omar Vizquel,Cleveland Indians,,
base,37,Carlos Delgado,Toronto Blue Jays,,
base,38,Eddie Williams,San Diego Padres,,
base,39,Shawon Dunston,Chicago Cubs,,
base,40,Darrin Fletcher,Montreal Expos,,
base,41,Leo Gomez,Baltimore Orioles,,
base,42,Juan Gonzalez,Texas Rangers,,
base,43,Luis Alicea,St. Louis Cardinals,,
base,44,Ken Ryan,Boston Red Sox,,
