setKey,cardNumber,player,team,subset,variant
base,1,Natrone Means,San Diego Chargers,Series 1,
base,2,David Meggett,New York Giants,Series 1,
base,3,Tim Bowens,Miami Dolphins,Series 1,
base,4,Jay Novacek,Dallas Cowboys,Series 1,
base,5,Michael Jackson,Cleveland Browns,Series 1,
base,6,Calvin Williams,Philadelphia Eagles,Series 1,
base,7,Neil Smith,Kansas City Chiefs,Series 1,
base,8,Chris Gardocki,Chicago Bears,Series 1,
base,9,Jeff Burris,Buffalo Bills,Series 1,
base,10,Warren Moon,Minnesota Vikings,Series 1,
base,11,Gary Anderson,Pittsburgh Steelers,Series 1,
base,12,Bert Emanuel,Atlanta Falcons,Series 1,
base,13,Rick Tuten,Seattle Seahawks,Series 1,
base,14,Steve Wallace,San Francisco 49ers,Series 1,
base,15,Marion Butts,New England Patriots,Series 1,
base,16,Johnnie Morton,Detroit Lions,Series 1,
base,17,Rob Moore,New York Jets,Series 1,
base,18,Wayne Gandy,St. Louis Rams,Series 1,
base,19,Quentin Coryatt,Indianapolis Colts,Series 1,
base,20,Richmond Webb,Miami Dolphins,Series 1,
base,21,Errict Rhett,Tampa Bay Buccaneers,Series 1,
base,22,Joe Johnson,New Orleans Saints,Series 1,
base,23,Gary Brown,Houston Oilers,Series 1,
base,24,Jeff Hostetler,Los Angeles Raiders,Series 1,
base,25,Larry Centers,Arizona Cardinals,Series 1,
base,26,Tom Carter,Washington Redskins,Series 1,
base,27,Steve Atwater,Denver Broncos,Series 1,
base,28,Doug Pelfrey,Cincinnati Bengals,Series 1,
base,29,Bryce Paup,Green Bay Packers,Series 1,
base,30,Erik Williams,Dallas Cowboys,Series 1,
base,31,Henry Jones,Buffalo Bills,Series 1,
base,32,Stanley Richard,San Diego Chargers,Series 1,
base,33,Marcus Allen,Kansas City Chiefs,Series 1,
base,34,Antonio Langham,Cleveland Browns,Series 1,
base,35,Lewis Tillman,Chicago Bears,Series 1,
base,36,Thomas Randolph,New York Giants,Series 1,
base,37,Byron Morris,Pittsburgh Steelers,Series 1,
base,38,David Palmer,Minnesota Vikings,Series 1,
base,39,Ricky Watters,San Francisco 49ers,Series 1,
base,40,Brett Perriman,Detroit Lions,Series 1,
base,41,Will Wolford,Indianapolis Colts,Series 1,
base,42,Burt Grossman,Philadelphia Eagles,Series 1,
base,43,Vincent Brisby,New England Patriots,Series 1,
base,44,Ronnie Lott,New York Jets,Series 1,
base,45,Brian Blades,Seattle Seahawks,Series 1,
base,46,Brent Jones,San Francisco 49ers,Series 1,
base,47,Anthony Newman,St. Louis Rams,Series 1,
base,48,Willie Roaf,New Orleans Saints,Series 1,
base,49,Paul Gruber,Tampa Bay Buccaneers,Series 1,
base,50,Jeff George,Atlanta Falcons,Series 1,
base,51,Jamir Miller,Arizona Cardinals,Series 1,
base,52,Anthony Miller,Denver Broncos,Series 1,
base,53,Darrell Green,Washington Redskins,Series 1,
base,54,Steve Wisniewski,Los Angeles Raiders,Series 1,
base,55,Dan Wilkinson,Cincinnati Bengals,Series 1,
base,56,Brett Favre,Green Bay Packers,Series 1,
base,57,Leslie O'Neal,San Diego Chargers,Series 1,
base,58,Keith Byars,Miami Dolphins,Series 1,
base,59,James Washington,Dallas Cowboys,Series 1,
base,60,Andre Reed,Buffalo Bills,Series 1,
base,61,Ken Norton,San Francisco 49ers,Series 1,
base,62,John Randle,Minnesota Vikings,Series 1,
base,63,Lake Dawson,Kansas City Chiefs,Series 1,
base,64,Greg Montgomery,Detroit Lions,Series 1,
base,65,Erric Pegram,Atlanta Falcons,Series 1,
base,66,Steve Everitt,Cleveland Browns,Series 1,
base,67,Chris Brantley,St. Louis Rams,Series 1,
base,68,Rod Woodson,Pittsburgh Steelers,Series 1,
