setKey,cardNumber,player,team,subset,variant
base,1,Ken Griffey Jr.,Seattle Mariners,,
base,2,Alex Fernandez,Chicago White Sox,,
base,3,Fred McGriff,Atlanta Braves,,
base,4,Ben McDonald,Baltimore Orioles,,
base,5,Rafael Palmeiro,Baltimore Orioles,,
base,6,Tony Gwynn,San Diego Padres,,
base,7,Jim Thome,Cleveland Indians,,
base,8,Ken Hill,St. Louis Cardinals,,
base,9,Barry Bonds,San Francisco Giants,,
base,10,Barry Larkin,Cincinnati Reds,,
base,11,Albert Belle,Cleveland Indians,,
base,12,Billy Ashley,Los Angeles Dodgers,,
base,13,Matt Williams,San Francisco Giants,,
base,14,Andy Benes,San Diego Padres,,
base,15,Midre Cummings,Pittsburgh Pirates,,
base,16,J.R. Phillips,San Francisco Giants,,
base,17,Edgar Martinez,Seattle Mariners,,
base,18,Manny Ramirez,Cleveland Indians,,
base,19,Jose Canseco,Boston Red Sox,,
base,20,Chili Davis,California Angels,,
base,21,Don Mattingly,New York Yankees,,
base,22,Bernie Williams,New York Yankees,,
base,23,Tom Glavine,Atlanta Braves,,
base,24,Robin Ventura,Chicago White Sox,,
base,25,Jeff Conine,Florida Marlins,,
base,26,Mark Grace,Chicago Cubs,,
base,27,Mark McGwire,Oakland Athletics,,
base,28,Carlos Delgado,Toronto Blue Jays,,
base,29,Greg Colbrunn,Florida Marlins,,
base,30,Greg Maddux,Atlanta Braves,,
base,31,Craig Biggio,Houston Astros,,
base,32,Kirby Puckett,Minnesota Twins,,
base,33,Derek Bell,Houston Astros,,
base,34,Lenny Dykstra,Philadelphia Phillies,,
base,35,Tim Salmon,California Angels,,
base,36,Deion Sanders,Cincinnati Reds,,
base,37,Moises Alou,Montreal Expos,,
base,38,Ray Lankford,St. Louis Cardinals,,
base,39,Willie Greene,Cincinnati Reds,,
base,40,Ozzie Smith,St. Louis Cardinals,,
base,41,Roger Clemens,Boston Red Sox,,
base,42,Andres Galarraga,Colorado Rockies,,
base,43,Gary Sheffield,Florida Marlins,,
