setKey,cardNumber,player,team,subset,variant
base,1,Frank Thomas,Chicago White Sox,,
base,2,Jeff Bagwell,Houston Astros,,
base,3,Don Mattingly,New York Yankees,,
base,4,Mike Piazza,Los Angeles Dodgers,,
base,5,Ken Griffey Jr.,Seattle Mariners,,
base,6,Greg Maddux,Atlanta Braves,,
base,7,Barry Bonds,San Francisco Giants,,
base,8,Cal Ripken Jr.,Baltimore Orioles,,
base,9,Jose Canseco,Boston Red Sox,,
base,10,Paul Molitor,Toronto Blue Jays,,
base,11,Kenny Lofton,Cleveland Indians,,
base,12,Will Clark,Texas Rangers,,
base,13,Tim Salmon,California Angels,,
base,14,Joe Carter,Toronto Blue Jays,,
base,15,Albert Belle,Cleveland Indians,,
base,16,Roger Clemens,Boston Red Sox,,
base,17,Roberto Alomar,Toronto Blue Jays,,
base,18,Alex Rodriguez,Seattle Mariners,,
base,19,Raul Mondesi,Los Angeles Dodgers,,
base,20,Deion Sanders,Cincinnati Reds,,
base,21,Juan Gonzalez,Texas Rangers,,
base,22,Kirby Puckett,Minnesota Twins,,
base,23,Fred McGriff,Atlanta Braves,,
base,24,Matt Williams,San Francisco Giants,,
base,25,Tony Gwynn,San Diego Padres,,
base,26,Cliff Floyd,Montreal Expos,,
base,27,Travis Fryman,Detroit Tigers,,
base,28,Shawn Green,Toronto Blue Jays,,
base,29,Mike Mussina,Baltimore Orioles,,
base,30,Bob Hamelin,Kansas City Royals,,
base,31,David Justice,Atlanta Braves,,
base,32,Manny Ramirez,Cleveland Indians,,
base,33,David Cone,Toronto Blue Jays,,
base,34,Marquis Grissom,Atlanta Braves,,
base,35,Moises Alou,Montreal Expos,,
base,36,Carlos Baerga,Cleveland Indians,,
base,37,Barry Larkin,Cincinnati Reds,,
base,38,Robin Ventura,Chicago White Sox,,
base,39,Mo Vaughn,Boston Red Sox,,
base,40,Jeffrey Hammonds,Baltimore Orioles,,
base,41,Ozzie Smith,St. Louis Cardinals,,
base,42,Andres Galarraga,Colorado Rockies,,
base,43,Carlos Delgado,Toronto Blue Jays,,
base,44,Lenny Dykstra,Philadelphia Phillies,,
base,45,Cecil Fielder,Detroit Tigers,,
base,46,Wade Boggs,New York Yankees,,
base,47,Gregg Jefferies,Philadelphia Phillies,,
base,48,Randy Johnson,Seattle Mariners,,
base,49,Rafael Palmeiro,Baltimore Orioles,,
base,50,Craig Biggio,Houston Astros,,
base,51,Steve Avery,Atlanta Braves,,
base,52,Ricky Bottalico,Philadelphia Phillies,,
base,53,Chris Gomez,Detroit Tigers,,
base,54,Carlos Garcia,Pittsburgh Pirates,,
base,55,Brian Anderson,California Angels,,
base,56,Wilson Alvarez,Chicago White Sox,,
base,57,Roberto Kelly,Montreal Expos,,
base,58,Larry Walker,Colorado Rockies,,
base,59,Dean Palmer,Texas Rangers,,
base,60,Rick Aguilera,Minnesota Twins,,
base,61,Javy Lopez,Atlanta Braves,,
base,62,Shawon Dunston,Chicago Cubs,,
base,63,William Van Landingham,San Francisco Giants,,
base,64,Jeff Kent,New York Mets,,
base,65,David McCarty,Minnesota Twins,,
base,66,Armando Benitez,Baltimore Orioles,,
base,67,Brett Butler,New York Mets,,
base,68,Bernard Gilkey,St. Louis Cardinals,,
base,69,Joey Hamilton,San Diego Padres,,
base,70,Chad Curtis,Detroit Tigers,,
base,71,Dante Bichette,Colorado Rockies,,
base,72,Chuck Carr,Florida Marlins,,
base,73,Pedro Martinez,Montreal Expos,,
base,74,Ramon Martinez,Los Angeles Dodgers,,
base,75,Rondell White,Montreal Expos,,
base,76,Alex Fernandez,Chicago White Sox,,
base,77,Dennis Martinez,Cleveland Indians,,
base,78,Sammy Sosa,Chicago Cubs,,
base,79,Bernie Williams,New York Yankees,,
base,80,Lou Whitaker,Detroit Tigers,,
base,81,Kurt Abbott,Florida Marlins,,
base,82,Tino Martinez,Seattle Mariners,,
base,83,Willie Greene,Cincinnati Reds,,
base,84,Garret Anderson,California Angels,,
base,85,Jose Rijo,Cincinnati Reds,,
base,86,Jeff Montgomery,Kansas City Royals,,
base,87,Mark Langston,California Angels,,
base,88,Reggie Sanders,Cincinnati Reds,,
base,89,Rusty Greer,Texas Rangers,,
base,90,Delino DeShields,Los Angeles Dodgers,,
base,91,Jason Bere,Chicago White Sox,,
base,92,Lee Smith,California Angels,,
base,93,Devon White,Toronto Blue Jays,,
base,94,John Wetteland,New York Yankees,,
base,95,Luis Gonzalez,Houston Astros,,
base,96,Greg Vaughn,Milwaukee Brewers,,
base,97,Lance Johnson,Chicago White Sox,,
base,98,Alan Trammell,Detroit Tigers,,
base,99,Bret Saberhagen,New York Mets,,
base,100,Jack McDowell,New York Yankees,,
base,101,Trevor Hoffman,San Diego Padres,,
base,102,Dave Nilsson,Milwaukee Brewers,,
base,103,Bryan Harvey,Florida Marlins,,
base,104,Chuck Knoblauch,Minnesota Twins,,
base,105,Bobby Bonilla,New York Mets,,
base,106,Hal Morris,Cincinnati Reds,,
base,107,Mark Whiten,Boston Red Sox,,
base,108,Phil Plantier,Houston Astros,,
base,109,Ryan Klesko,Atlanta Braves,,
base,110,Greg Gagne,Kansas City Royals,,
base,111,Ruben Sierra,Oakland Athletics,,
base,112,J.R. Phillips,San Francisco Giants,,
base,113,Terry Steinbach,Oakland Athletics,,
base,114,Jay Buhner,Seattle Mariners,,
base,115,Ken Caminiti,San Diego Padres,,
base,116,Gary DiSarcina,California Angels,,
base,117,Ivan Rodriguez,Texas Rangers,,
base,118,Bip Roberts,San Diego Padres,,
base,119,Jay Bell,Pittsburgh Pirates,,
base,120,Ken Hill,St. Louis Cardinals,,
base,121,Mike Greenwell,Boston Red Sox,,
base,122,Rick Wilkins,Chicago Cubs,,
base,123,Rickey Henderson,Oakland Athletics,,
base,124,Dave Hollins,Philadelphia Phillies,,
base,125,Terry Pendleton,Florida Marlins,,
base,126,Rich Becker,Minnesota Twins,,
base,127,Billy Ashley,Los Angeles Dodgers,,
base,128,Derek Bell,Houston Astros,,
base,129,Dennis Eckersley,Oakland Athletics,,
base,130,Andujar Cedeno,San Diego Padres,,
base,131,John Jaha,Milwaukee Brewers,,
base,132,Chuck Finley,California Angels,,
base,133,Steve Finley,San Diego Padres,,
base,134,Danny Tartabull,New York Yankees,,
base,135,Jeff Conine,Florida Marlins,,
base,136,Jon Lieber,Pittsburgh Pirates,,
base,137,Jim Abbott,Chicago White Sox,,
base,138,Steve Trachsel,Chicago Cubs,,
base,139,Bret Boone,Cincinnati Reds,,
base,140,Charles Johnson,Florida Marlins,,
base,141,Mark McGwire,Oakland Athletics,,
base,142,Eddie Murray,Cleveland Indians,,
base,143,Doug Drabek,Houston Astros,,
base,144,Steve Cooke,Pittsburgh Pirates,,
base,145,Kevin Seitzer,Milwaukee Brewers,,
base,146,Rod Beck,San Francisco Giants,,
base,147,Eric Karros,Los Angeles Dodgers,,
base,148,Tim Raines,Chicago White Sox,,
base,149,Joe Girardi,Colorado Rockies,,
base,150,Aaron Sele,Boston Red Sox,,
base,151,Robby Thompson,San Francisco Giants,,
base,152,Chan Ho Park,Los Angeles Dodgers,,
base,153,Ellis Burks,Colorado Rockies,,
base,154,Brian McRae,Chicago Cubs,,
base,155,Jimmy Key,New York Yankees,,
base,156,Rico Brogna,New York Mets,,
base,157,Ozzie Guillen,Chicago White Sox,,
base,158,Chili Davis,California Angels,,
base,159,Darren Daulton,Philadelphia Phillies,,
base,160,Chipper Jones,Atlanta Braves,,
base,161,Walt Weiss,Colorado Rockies,,
