setKey,cardNumber,player,team,subset,variant
base,1,Roberto Alomar,Baltimore Orioles,,
base,2,Brady Anderson,Baltimore Orioles,,
base,3,Bobby Bonilla,Baltimore Orioles,,
base,4,Scott Erickson,Baltimore Orioles,,
base,5,Jeffrey Hammonds,Baltimore Orioles,,
base,6,Jimmy Haynes,Baltimore Orioles,,
base,7,Chris Hoiles,Baltimore Orioles,,
base,8,Kent Mercker,Baltimore Orioles,,
base,9,Mike Mussina,Baltimore Orioles,,
base,10,Randy Myers,Baltimore Orioles,,
base,11,Rafael Palmeiro,Baltimore Orioles,,
base,12,"Cal Ripken, Jr.",Baltimore Orioles,,
base,13,B.J. Surhoff,Baltimore Orioles,,
base,14,David Wells,Baltimore Orioles,,
base,15,Jose Canseco,Boston Red Sox,,
base,16,Roger Clemens,Boston Red Sox,,
base,17,Wil Cordero,Boston Red Sox,,
base,18,Tom Gordon,Boston Red Sox,,
base,19,Mike Greenwell,Boston Red Sox,,
base,20,Dwayne Hosey,Boston Red Sox,,
base,21,Jose Malave,Boston Red Sox,,
base,22,Tim Naehring,Boston Red Sox,,
base,23,Troy O'Leary,Boston Red Sox,,
base,24,Aaron Sele,Boston Red Sox,,
base,25,Heathcliff Slocumb,Boston Red Sox,,
base,26,Mike Stanley,Boston Red Sox,,
base,27,Jeff Suppan,Boston Red Sox,,
base,28,John Valentin,Boston Red Sox,,
base,29,Mo Vaughn,Boston Red Sox,,
base,30,Tim Wakefield,Boston Red Sox,,
base,31,Jim Abbott,California Angels,,
base,32,Garret Anderson,California Angels,,
base,33,George Arias,California Angels,,
base,34,Chili Davis,California Angels,,
base,35,Gary DiSarcina,California Angels,,
base,36,Jim Edmonds,California Angels,,
base,37,Chuck Finley,California Angels,,
base,38,Todd Greene,California Angels,,
base,39,Mark Langston,California Angels,,
base,40,Troy Percival,California Angels,,
base,41,Tim Salmon,California Angels,,
base,42,Lee Smith,California Angels,,
base,43,J.T. Snow,California Angels,,
base,44,Randy Velarde,California Angels,,
base,45,Tim Wallach,California Angels,,
base,46,Wilson Alvarez,Chicago White Sox,,
base,47,Harold Baines,Chicago White Sox,,
base,48,Jason Bere,Chicago White Sox,,
base,49,Ray Durham,Chicago White Sox,,
base,50,Alex Fernandez,Chicago White Sox,,
base,51,Ozzie Guillen,Chicago White Sox,,
base,52,Roberto Hernandez,Chicago White Sox,,
