setKey,cardNumber,player,team,subset,variant
base,1,Manny Alexander,Baltimore Orioles,,
base,2,Brady Anderson,Baltimore Orioles,,
base,3,Bobby Bonilla,Baltimore Orioles,,
base,4,Scott Erickson,Baltimore Orioles,,
base,5,Curtis Goodwin,Baltimore Orioles,,
base,6,Chris Hoiles,Baltimore Orioles,,
base,7,Doug Jones,Baltimore Orioles,,
base,8,Jeff Manto,Baltimore Orioles,,
base,9,Mike Mussina,Baltimore Orioles,,
base,10,Rafael Palmeiro,Baltimore Orioles,,
base,11,Cal Ripken Jr.,Baltimore Orioles,,
base,12,Rick Aguilera,Boston Red Sox,,
base,13,Luis Alicea,Boston Red Sox,,
base,14,Stan Belinda,Boston Red Sox,,
base,15,Jose Canseco,Boston Red Sox,,
base,16,Roger Clemens,Boston Red Sox,,
base,17,Mike Greenwell,Boston Red Sox,,
base,18,Mike Macfarlane,Boston Red Sox,,
base,19,Tim Naehring,Boston Red Sox,,
base,20,Troy O'Leary,Boston Red Sox,,
base,21,John Valentin,Boston Red Sox,,
base,22,Mo Vaughn,Boston Red Sox,,
base,23,Tim Wakefield,Boston Red Sox,,
base,24,Brian Anderson,California Angels,,
base,25,Garret Anderson,California Angels,,
base,26,Chili Davis,California Angels,,
base,27,Gary DiSarcina,California Angels,,
base,28,Jim Edmonds,California Angels,,
base,29,Jorge Fabregas,California Angels,,
base,30,Chuck Finley,California Angels,,
base,31,Mark Langston,California Angels,,
base,32,Troy Percival,California Angels,,
base,33,Tim Salmon,California Angels,,
base,34,Lee Smith,California Angels,,
base,35,Wilson Alvarez,Chicago White Sox,,
base,36,Ray Durham,Chicago White Sox,,
base,37,Alex Fernandez,Chicago White Sox,,
base,38,Ozzie Guillen,Chicago White Sox,,
base,39,Roberto Hernandez,Chicago White Sox,,
base,40,Lance Johnson,Chicago White Sox,,
base,41,Ron Karkovice,Chicago White Sox,,
base,42,Lyle Mouton,Chicago White Sox,,
base,43,Tim Raines,Chicago White Sox,,
base,44,Frank Thomas,Chicago White Sox,,
base,45,Carlos Baerga,Cleveland Indians,,
base,46,Albert Belle,Cleveland Indians,,
base,47,Orel Hershiser,Cleveland Indians,,
base,48,Kenny Lofton,Cleveland Indians,,
base,49,Dennis Martinez,Cleveland Indians,,
base,50,Jose Mesa,Cleveland Indians,,
base,51,Eddie Murray,Cleveland Indians,,
base,52,Chad Ogea,Cleveland Indians,,
base,53,Manny Ramirez,Cleveland Indians,,
base,54,Jim Thome,Cleveland Indians,,
base,55,Omar Vizquel,Cleveland Indians,,
base,56,Dave Winfield,Cleveland Indians,,
base,57,Chad Curtis,Detroit Tigers,,
base,58,Cecil Fielder,Detroit Tigers,,
base,59,John Flaherty,Detroit Tigers,,
base,60,Travis Fryman,Detroit Tigers,,
base,61,Chris Gomez,Detroit Tigers,,
