setKey,cardNumber,player,team,subset,variant
base,1,Michael Jordan,Chicago Bulls,,SN10000
base,2,Hakeem Olajuwon,Houston Rockets,,SN10000
base,3,Keith Van Horn,New Jersey Nets,,SN10000
base,4,Rasheed Wallace,Portland Trail Blazers,,SN10000
base,5,Mookie Blaylock,Atlanta Hawks,,SN10000
base,6,Bobby Jackson,Denver Nuggets,,SN10000
base,7,Detlef Schrempf,Seattle SuperSonics,,SN10000
base,8,Antonio McDyess,Phoenix Suns,,SN10000
base,9,Lamond Murray,Los Angeles Clippers,,SN10000
base,10,Chris Mullin,Indiana Pacers,,SN10000
base,11,Zydrunas Ilgauskas,Cleveland Cavaliers,,SN10000
base,12,Tracy Murray,Washington Wizards,,SN10000
base,13,Jerry Stackhouse,Detroit Pistons,,SN10000
base,14,Avery Johnson,San Antonio Spurs,,SN10000
base,15,Larry Johnson,New York Knicks,,SN10000
base,16,Alan Henderson,Atlanta Hawks,,SN10000
base,17,David Wesley,Charlotte Hornets,,SN10000
base,18,Kevin Willis,Toronto Raptors,,SN10000
base,19,Eddie Jones,Los Angeles Lakers,,SN10000
base,20,Horace Grant,Orlando Magic,,SN10000
base,21,Ray Allen,Milwaukee Bucks,,SN10000
base,22,Derrick Coleman,Philadelphia 76ers,,SN10000
base,23,Derek Anderson,Cleveland Cavaliers,,SN10000
base,24,Tim Hardaway,Miami Heat,,SN10000
base,25,Danny Fortson,Denver Nuggets,,SN10000
base,26,Tariq Abdul-Wahad,Sacramento Kings,,SN10000
base,27,Charles Barkley,Houston Rockets,,SN10000
base,28,Sam Cassell,New Jersey Nets,,SN10000
base,29,Kevin Garnett,Minnesota Timberwolves,,SN10000
base,30,Jeff Hornacek,Utah Jazz,,SN10000
base,31,Isaac Austin,Los Angeles Clippers,,SN10000
base,32,Allan Houston,New York Knicks,,SN10000
base,33,David Robinson,San Antonio Spurs,,SN10000
base,34,Tracy McGrady,Toronto Raptors,,SN10000
base,35,LaPhonso Ellis,Denver Nuggets,,SN10000
base,36,Shawn Kemp,Cleveland Cavaliers,,SN10000
base,37,Glenn Robinson,Milwaukee Bucks,,SN10000
base,38,Shareef Abdur-Rahim,Vancouver Grizzlies,,SN10000
base,39,Vin Baker,Seattle SuperSonics,,SN10000
base,40,Rik Smits,Indiana Pacers,,SN10000
base,41,Jason Kidd,Phoenix Suns,,SN10000
base,42,Erick Dampier,Golden State Warriors,,SN10000
base,43,Shawn Bradley,Dallas Mavericks,,SN10000
base,44,Anfernee Hardaway,Orlando Magic,,SN10000
base,45,John Stockton,Utah Jazz,,SN10000
base,46,Calbert Cheaney,Washington Wizards,,SN10000
base,47,Terrell Brandon,Milwaukee Bucks,,SN10000
base,48,Hubert Davis,Dallas Mavericks,,SN10000
base,49,Patrick Ewing,New York Knicks,,SN10000
base,50,Kobe Bryant,Los Angeles Lakers,,SN10000
base,51,Gary Payton,Seattle SuperSonics,,SN10000
base,52,Marcus Camby,Toronto Raptors,,SN10000
base,53,Bryant Reeves,Vancouver Grizzlies,,SN10000
base,54,Reggie Miller,Indiana Pacers,,SN10000
base,55,Antoine Walker,Boston Celtics,,SN10000
base,56,Scottie Pippen,Chicago Bulls,,SN10000
base,57,Hersey Hawkins,Seattle SuperSonics,,SN10000
base,58,John Starks,New York Knicks,,SN10000
base,59,Dikembe Mutombo,Atlanta Hawks,,SN10000
base,60,Damon Stoudamire,Portland Trail Blazers,,SN10000
base,61,Rodney Rogers,Los Angeles Clippers,,SN10000
base,62,Nick Anderson,Orlando Magic,,SN10000
base,63,Brian Williams,Detroit Pistons,,SN10000
base,64,Ron Mercer,Boston Celtics,,SN10000
base,65,Donyell Marshall,Golden State Warriors,,SN10000
base,66,Glen Rice,Charlotte Hornets,,SN10000
base,67,Michael Finley,Dallas Mavericks,,SN10000
base,68,Tim Duncan,San Antonio Spurs,,SN10000
base,69,Stephon Marbury,Minnesota Timberwolves,,SN10000
base,70,Antonio Daniels,San Antonio Spurs,,SN10000
base,71,Chauncey Billups,Toronto Raptors,,SN10000
base,72,Kerry Kittles,New Jersey Nets,,SN10000
base,73,Brian Grant,Portland Trail Blazers,,SN10000
base,74,Anthony Mason,Charlotte Hornets,,SN10000
base,75,Allen Iverson,Philadelphia 76ers,,SN10000
base,76,Juwan Howard,Washington Wizards,,SN10000
base,77,Grant Hill,Detroit Pistons,,SN10000
base,78,Tony Delk,Golden State Warriors,,SN10000
base,79,Olden Polynice,Sacramento Kings,,SN10000
base,80,Alonzo Mourning,Miami Heat,,SN10000
base,81,Karl Malone,Utah Jazz,,SN10000
base,82,Isaiah Rider,Portland Trail Blazers,,SN10000
base,83,Shaquille O'Neal,Los Angeles Lakers,,SN10000
base,84,Steve Smith,Atlanta Hawks,,SN10000
base,85,Kenny Anderson,Boston Celtics,,SN10000
base,86,Toni Kukoc,Chicago Bulls,,SN10000
base,87,Anthony Peeler,Minnesota Timberwolves,,SN10000
base,88,Tim Thomas,Philadelphia 76ers,,SN10000
base,89,Nick Van Exel,Denver Nuggets,,SN10000
base,90,Jamal Mashburn,Miami Heat,,SN10000
base,91,Reggie Miller,Indiana Pacers,Star Power,SN5400
base,92,Juwan Howard,Washington Wizards,Star Power,SN5400
base,93,Glen Rice,Charlotte Hornets,Star Power,SN5400
base,94,Grant Hill,Detroit Pistons,Star Power,SN5400
base,95,Maurice Taylor,Los Angeles Clippers,Star Power,SN5400
base,96,Vin Baker,Seattle SuperSonics,Star Power,SN5400
base,97,Tim Thomas,Philadelphia 76ers,Star Power,SN5400
base,98,Bobby Jackson,Denver Nuggets,Star Power,SN5400
base,99,Damon Stoudamire,Portland Trail Blazers,Star Power,SN5400
base,100,Michael Jordan,Chicago Bulls,Star Power,SN5400
base,101,Eddie Jones,Los Angeles Lakers,Star Power,SN5400
base,102,Keith Van Horn,New Jersey Nets,Star Power,SN5400
base,103,Dikembe Mutombo,Atlanta Hawks,Star Power,SN5400
base,104,Brevin Knight,Cleveland Cavaliers,Star Power,SN5400
base,105,Shawn Bradley,Dallas Mavericks,Star Power,SN5400
base,106,Lamond Murray,Los Angeles Clippers,Star Power,SN5400
base,107,Tim Duncan,San Antonio Spurs,Star Power,SN5400
base,108,Bryant Reeves,Vancouver Grizzlies,Star Power,SN5400
base,109,Antoine Walker,Boston Celtics,Star Power,SN5400
base,110,John Stockton,Utah Jazz,Star Power,SN5400
base,111,Nick Anderson,Orlando Magic,Star Power,SN5400
base,112,Chris Mullin,Indiana Pacers,Star Power,SN5400
base,113,Glenn Robinson,Milwaukee Bucks,Star Power,SN5400
base,114,Kevin Garnett,Minnesota Timberwolves,Star Power,SN5400
base,115,Michael Stewart,Sacramento Kings,Star Power,SN5400
base,116,Antonio McDyess,Phoenix Suns,Star Power,SN5400
base,117,Jim Jackson,Golden State Warriors,Star Power,SN5400
base,118,Chauncey Billups,Toronto Raptors,Star Power,SN5400
base,119,Sam Cassell,New Jersey Nets,Star Power,SN5400
base,120,Dennis Rodman,Chicago Bulls,Star Power,SN5400
base,121,Rasheed Wallace,Portland Trail Blazers,Star Power,SN5400
base,122,Brian Williams,Detroit Pistons,Star Power,SN5400
base,123,Anfernee Hardaway,Orlando Magic,Star Power,SN5400
base,124,Scottie Pippen,Chicago Bulls,Star Power,SN5400
base,125,Terrell Brandon,Milwaukee Bucks,Star Power,SN5400
base,126,Michael Finley,Dallas Mavericks,Star Power,SN5400
base,127,Kerry Kittles,New Jersey Nets,Star Power,SN5400
base,128,Toni Kukoc,Chicago Bulls,Star Power,SN5400
base,129,Hakeem Olajuwon,Houston Rockets,Star Power,SN5400
base,130,Tim Hardaway,Miami Heat,Star Power,SN5400
base,131,Shareef Abdur-Rahim,Vancouver Grizzlies,Star Power,SN5400
base,132,Donyell Marshall,Golden State Warriors,Star Power,SN5400
base,133,David Robinson,San Antonio Spurs,Star Power,SN5400
base,134,LaPhonso Ellis,Denver Nuggets,Star Power,SN5400
base,135,Ray Allen,Milwaukee Bucks,Star Power,SN5400
base,136,Nick Van Exel,Denver Nuggets,Star Power,SN5400
base,137,Patrick Ewing,New York Knicks,Star Power,SN5400
base,138,Anthony Mason,Charlotte Hornets,Star Power,SN5400
base,139,Shaquille O'Neal,Los Angeles Lakers,Star Power,SN5400
base,140,Shawn Kemp,Cleveland Cavaliers,Star Power,SN5400
base,141,Stephon Marbury,Minnesota Timberwolves,Star Power,SN5400
base,142,Karl Malone,Utah Jazz,Star Power,SN5400
base,143,Allen Iverson,Philadelphia 76ers,Star Power,SN5400
base,144,Kenny Anderson,Boston Celtics,Star Power,SN5400
base,145,Marcus Camby,New York Knicks,Star Power,SN5400
base,146,Steve Smith,Atlanta Hawks,Star Power,SN5400
base,147,Gary Payton,Seattle SuperSonics,Star Power,SN5400
base,148,Jason Kidd,Phoenix Suns,Star Power,SN5400
base,149,Alonzo Mourning,Miami Heat,Star Power,SN5400
base,150,Charles Barkley,Houston Rockets,Star Power,SN5400
base,151,Kobe Bryant,Los Angeles Lakers,SPx 2000,SN4050
base,152,Ron Mercer,Boston Celtics,SPx 2000,SN4050
base,153,Maurice Taylor,Los Angeles Clippers,SPx 2000,SN4050
base,154,Tim Duncan,San Antonio Spurs,SPx 2000,SN4050
base,155,Shareef Abdur-Rahim,Vancouver Grizzlies,SPx 2000,SN4050
base,156,Eddie Jones,Los Angeles Lakers,SPx 2000,SN4050
base,157,Chauncey Billups,Toronto Raptors,SPx 2000,SN4050
base,158,Derek Anderson,Cleveland Cavaliers,SPx 2000,SN4050
base,159,Bobby Jackson,Denver Nuggets,SPx 2000,SN4050
base,160,Stephon Marbury,Minnesota Timberwolves,SPx 2000,SN4050
