setKey,cardNumber,player,team,subset,variant
base,1,Larry Centers,Arizona Cardinals,Base,
base,2,Kent Graham,Arizona Cardinals,Base,
base,3,LeShon Johnson,Arizona Cardinals,Base,
base,4,Leeland McElroy,Arizona Cardinals,Base,
base,5,Jake Plummer,Arizona Cardinals,Base,
base,6,Jamal Anderson,Atlanta Falcons,Base,
base,7,Chris Chandler,Atlanta Falcons,Base,
base,8,Bert Emanuel,Atlanta Falcons,Base,
base,9,Byron Hanspard,Atlanta Falcons,Base,
base,10,O.J. Santiago,Atlanta Falcons,Base,
base,11,Derrick Alexander,Baltimore Ravens,Base,
base,12,Peter Boulware,Baltimore Ravens,Base,
base,13,Eric Green,Baltimore Ravens,Base,
base,14,Michael Jackson,Baltimore Ravens,Base,
base,15,Bam Morris,Baltimore Ravens,Base,
base,16,Vinny Testaverde,Baltimore Ravens,Base,
base,17,Todd Collins,Buffalo Bills,Base,
base,18,Quinn Early,Buffalo Bills,Base,
base,19,Jim Kelly,Buffalo Bills,Base,
base,20,Andre Reed,Buffalo Bills,Base,
base,21,Antowain Smith,Buffalo Bills,Base,
base,22,Steve Tasker,Buffalo Bills,Base,
base,23,Thurman Thomas,Buffalo Bills,Base,
base,24,Steve Beuerlein,Carolina Panthers,Base,
base,25,Rae Carruth,Carolina Panthers,Base,
base,26,Kerry Collins,Carolina Panthers,Base,
base,27,Anthony Johnson,Carolina Panthers,Base,
base,28,Ernie Mills,Carolina Panthers,Base,
base,29,Wesley Walls,Carolina Panthers,Base,
base,30,Curtis Conway,Chicago Bears,Base,
base,31,Bobby Engram,Chicago Bears,Base,
base,32,Raymont Harris,Chicago Bears,Base,
base,33,Erik Kramer,Chicago Bears,Base,
base,34,Rick Mirer,Chicago Bears,Base,
base,35,Darnay Scott,Cincinnati Bengals,Base,
base,36,Tony McGee,Cincinnati Bengals,Base,
base,37,Jeff Blake,Cincinnati Bengals,Base,
base,38,Corey Dillon,Cincinnati Bengals,Base,
base,39,Carl Pickens,Cincinnati Bengals,Base,
base,40,Troy Aikman,Dallas Cowboys,Base,
base,41,Billy Davis,Dallas Cowboys,Base,
base,42,David LaFleur,Dallas Cowboys,Base,
base,43,Anthony Miller,Dallas Cowboys,Base,
base,44,Emmitt Smith,Dallas Cowboys,Base,
base,45,Herschel Walker,Dallas Cowboys,Base,
base,46,Sherman Williams,Dallas Cowboys,Base,
base,47,Flipper Anderson,Denver Broncos,Base,
base,48,Terrell Davis,Denver Broncos,Base,
base,49,Jason Elam,Denver Broncos,Base,
base,50,John Elway,Denver Broncos,Base,
base,51,Darrien Gordon,Denver Broncos,Base,
base,52,Ed McCaffrey,Denver Broncos,Base,
base,53,Shannon Sharpe,Denver Broncos,Base,
base,54,Neil Smith,Denver Broncos,Base,
base,55,Rod Smith,Denver Broncos,Base,
base,56,Maa Tanuvasa,Denver Broncos,Base,
base,57,Glyn Milburn,Detroit Lions,Base,
base,58,Scott Mitchell,Detroit Lions,Base,
base,59,Herman Moore,Detroit Lions,Base,
base,60,Johnnie Morton,Detroit Lions,Base,
base,61,Barry Sanders,Detroit Lions,Base,
base,62,Tommy Vardell,Detroit Lions,Base,
base,63,Bryant Westbrook,Detroit Lions,Base,
base,64,Robert Brooks,Green Bay Packers,Base,
base,65,Mark Chmura,Green Bay Packers,Base,
base,66,Brett Favre,Green Bay Packers,Base,
base,67,Antonio Freeman,Green Bay Packers,Base,
base,68,Dorsey Levens,Green Bay Packers,Base,
base,69,Bill Schroeder RC,Green Bay Packers,Base,
base,70,Marshall Faulk,Indianapolis Colts,Base,
base,71,Jim Harbaugh,Indianapolis Colts,Base,
base,72,Marvin Harrison,Indianapolis Colts,Base,
base,73,Derek Brown,Jacksonville Jaguars,Base,
base,74,Mark Brunell,Jacksonville Jaguars,Base,
base,75,Rob Johnson,Jacksonville Jaguars,Base,
base,76,Keenan McCardell,Jacksonville Jaguars,Base,
base,77,Natrone Means,Jacksonville Jaguars,Base,
base,78,Jimmy Smith,Jacksonville Jaguars,Base,
base,79,James Stewart,Jacksonville Jaguars,Base,
base,80,Marcus Allen,Kansas City Chiefs,Base,
base,81,Pat Barnes,Kansas City Chiefs,Base,
base,82,Tony Gonzalez,Kansas City Chiefs,Base,
base,83,Elvis Grbac,Kansas City Chiefs,Base,
base,84,Greg Hill,Kansas City Chiefs,Base,
base,85,Kevin Lockett,Kansas City Chiefs,Base,
base,86,Andre Rison,Kansas City Chiefs,Base,
base,87,Karim Abdul-Jabbar,Miami Dolphins,Base,
base,88,Fred Barnett,Miami Dolphins,Base,
base,89,Troy Drayton,Miami Dolphins,Base,
base,90,Dan Marino,Miami Dolphins,Base,
base,91,Irving Spikes,Miami Dolphins,Base,
base,92,Cris Carter,Minnesota Vikings,Base,
base,93,Matthew Hatchette,Minnesota Vikings,Base,
base,94,Brad Johnson,Minnesota Vikings,Base,
base,95,Jake Reed,Minnesota Vikings,Base,
base,96,Robert Smith,Minnesota Vikings,Base,
base,97,Drew Bledsoe,New England Patriots,Base,
base,98,Keith Byars,New England Patriots,Base,
base,99,Ben Coates,New England Patriots,Base,
base,100,Terry Glenn,New England Patriots,Base,
base,101,Shawn Jefferson,New England Patriots,Base,
base,102,Curtis Martin,New England Patriots,Base,
base,103,Dave Meggett,New England Patriots,Base,
base,104,Troy Davis,New Orleans Saints,Base,
base,105,Danny Wuerffel,New Orleans Saints,Base,
base,106,Ray Zellars,New Orleans Saints,Base,
base,107,Tiki Barber,New York Giants,Base,
base,108,Rodney Hampton,New York Giants,Base,
base,109,Ike Hilliard,New York Giants,Base,
base,110,Danny Kanell,New York Giants,Base,
base,111,Tyrone Wheatley,New York Giants,Base,
base,112,Kyle Brady,New York Jets,Base,
base,113,Wayne Chrebet,New York Jets,Base,
base,114,Aaron Glenn,New York Jets,Base,
base,115,Jeff Graham,New York Jets,Base,
base,116,Keyshawn Johnson,New York Jets,Base,
base,117,Adrian Murrell,New York Jets,Base,
base,118,Neil O'Donnell,New York Jets,Base,
base,119,Heath Shuler,New Orleans Saints,Base,
base,120,Tim Brown,Oakland Raiders,Base,
base,121,Rickey Dudley,Oakland Raiders,Base,
base,122,Jeff George,Oakland Raiders,Base,
base,123,Desmond Howard,Oakland Raiders,Base,
base,124,James Jett,Oakland Raiders,Base,
base,125,Napoleon Kaufman,Oakland Raiders,Base,
base,126,Chad Levitt RC,Oakland Raiders,Base,
base,127,Darrell Russell,Oakland Raiders,Base,
base,128,Ty Detmer,Philadelphia Eagles,Base,
base,129,Irving Fryar,Philadelphia Eagles,Base,
base,130,Charlie Garner,Philadelphia Eagles,Base,
base,131,Kevin Turner,Philadelphia Eagles,Base,
base,132,Ricky Watters,Philadelphia Eagles,Base,
base,133,Jerome Bettis,Pittsburgh Steelers,Base,
base,134,Will Blackwell,Pittsburgh Steelers,Base,
base,135,Mark Bruener,Pittsburgh Steelers,Base,
base,136,Charles Johnson,Pittsburgh Steelers,Base,
base,137,George Jones,Pittsburgh Steelers,Base,
base,138,Kordell Stewart,Pittsburgh Steelers,Base,
base,139,Yancey Thigpen,Pittsburgh Steelers,Base,
base,140,Gary Brown,San Diego Chargers,Base,
base,141,Jim Everett,San Diego Chargers,Base,
base,142,Terrell Fletcher,San Diego Chargers,Base,
base,143,Stan Humphries,San Diego Chargers,Base,
base,144,Freddie Jones,San Diego Chargers,Base,
base,145,Tony Martin,San Diego Chargers,Base,
base,146,Jim Druckenmiller,San Francisco 49ers,Base,
base,147,Garrison Hearst,San Francisco 49ers,Base,
base,148,Brent Jones,San Francisco 49ers,Base,
base,149,Terrell Owens,San Francisco 49ers,Base,
base,150,Jerry Rice,San Francisco 49ers,Base,
base,151,J.J. Stokes,San Francisco 49ers,Base,
base,152,Steve Young,San Francisco 49ers,Base,
base,153,Steve Broussard,Seattle Seahawks,Base,
base,154,Joey Galloway,Seattle Seahawks,Base,
