setKey,cardNumber,player,team,subset,variant
base,1,Dikembe Mutombo,Atlanta Hawks,,
base,2,Alan Henderson,Atlanta Hawks,,
base,3,Antoine Walker,Boston Celtics,,
base,4,Paul Pierce,Boston Celtics,,
base,5,Kenny Anderson,Boston Celtics,,
base,6,Eddie Jones,Charlotte Hornets,,
base,7,David Wesley,Charlotte Hornets,,
base,8,Elden Campbell,Charlotte Hornets,,
base,9,Toni Kukoc,Chicago Bulls,,
base,10,Dickey Simpkins,Chicago Bulls,,
base,11,Shawn Kemp,Cleveland Cavaliers,,
base,12,Brevin Knight,Cleveland Cavaliers,,
base,13,Michael Finley,Dallas Mavericks,,
base,14,Cedric Ceballos,Dallas Mavericks,,
base,15,Dirk Nowitzki,Dallas Mavericks,,
base,16,Antonio McDyess,Denver Nuggets,,
base,17,Nick Van Exel,Denver Nuggets,,
base,18,Chauncey Billups,Denver Nuggets,,
base,19,Grant Hill,Detroit Pistons,,
base,20,Jerry Stackhouse,Detroit Pistons,,
base,21,Bison Dele,Detroit Pistons,,
base,22,Lindsey Hunter,Detroit Pistons,,
base,23,Antawn Jamison,Golden State Warriors,,
base,24,Donyell Marshall,Golden State Warriors,,
base,25,John Starks,Golden State Warriors,,
base,26,Chris Mills,Golden State Warriors,,
base,27,Hakeem Olajuwon,Houston Rockets,,
base,28,Scottie Pippen,Portland Trail Blazers,,
base,29,Charles Barkley,Houston Rockets,,
base,30,Reggie Miller,Indiana Pacers,,
base,31,Rik Smits,Indiana Pacers,,
base,32,Jalen Rose,Indiana Pacers,,
base,33,Chris Mullin,Indiana Pacers,,
base,34,Maurice Taylor,Los Angeles Clippers,,
base,35,Michael Olowokandi,Los Angeles Clippers,,
base,36,Shaquille O'Neal,Los Angeles Lakers,,
base,37,Kobe Bryant,Los Angeles Lakers,,
base,38,Glen Rice,Los Angeles Lakers,,
base,39,Tim Hardaway,Miami Heat,,
base,40,Alonzo Mourning,Miami Heat,,
base,41,Dan Majerle,Miami Heat,,
base,42,P.J. Brown,Miami Heat,,
base,43,Glenn Robinson,Milwaukee Bucks,,
base,44,Ray Allen,Milwaukee Bucks,,
base,45,Sam Cassell,Milwaukee Bucks,,
base,46,Tim Thomas,Milwaukee Bucks,,
