setKey,cardNumber,player,team,subset,variant
base,1,Terrell Davis,Denver Broncos,,SP
base,2,Jerome Bettis,Pittsburgh Steelers,,SP
base,3,J.J. Stokes,San Francisco 49ers,,
base,4,Frank Wycheck,Tennessee Titans,,
base,5,O.J. McDuffie,Miami Dolphins,,
base,6,Johnnie Morton,Detroit Lions,,
base,7,Marshall Faulk,St. Louis Rams,,SP
base,8,Ryan Leaf,San Diego Chargers,,
base,9,Sean Dawkins,Seattle Seahawks,,
base,10,Brett Favre,Green Bay Packers,,SP
base,11,Steve Young,San Francisco 49ers,,SP
base,12,Jimmy Smith,Jacksonville Jaguars,,
base,13,Isaac Bruce,St. Louis Rams,,
base,14,Trent Dilfer,Tampa Bay Buccaneers,,
base,15,Brian Mitchell,Washington Redskins,,
base,16,Kordell Stewart,Pittsburgh Steelers,,SP
base,17,Herman Moore,Detroit Lions,,
base,18,Troy Aikman,Dallas Cowboys,,SP
base,19,Cris Carter,Minnesota Vikings,,
base,20,Barry Sanders,Detroit Lions,,SP
base,21,Tony Gonzalez,Kansas City Chiefs,,
base,22,Skip Hicks,Washington Redskins,,
base,23,Steve McNair,Tennessee Titans,,SP
base,24,Brad Johnson,Washington Redskins,,
base,25,Mark Chmura,Green Bay Packers,,
base,26,Randall Cunningham,Minnesota Vikings,,SP
base,27,Jerry Rice,San Francisco 49ers,,SP
base,28,Jamie Asher,Philadelphia Eagles,,
base,29,Brian Griese,Denver Broncos,,SP
base,30,Peyton Manning,Indianapolis Colts,,SP
base,31,Keith Poole,New Orleans Saints,,
base,32,Wayne Chrebet,New York Jets,,
base,33,Rich Gannon,Oakland Raiders,,
base,34,Michael Irvin,Dallas Cowboys,,
base,35,Yancey Thigpen,Tennessee Titans,,
base,36,Corey Dillon,Cincinnati Bengals,,
base,37,Steve Beuerlein,Carolina Panthers,,
base,38,Terry Kirby,Cleveland Browns,,
base,39,Jacquez Green,Tampa Bay Buccaneers,,
base,40,Mark Brunell,Jacksonville Jaguars,,SP
base,41,Rickey Dudley,Oakland Raiders,,
base,42,Shannon Sharpe,Denver Broncos,,
base,43,Andre Rison,Kansas City Chiefs,,
base,44,Chris Chandler,Atlanta Falcons,,
base,45,Fred Taylor,Jacksonville Jaguars,,SP
base,46,Kerry Collins,New York Giants,,
base,47,Antowain Smith,Buffalo Bills,,SP
base,48,Wesley Walls,Carolina Panthers,,
base,49,Rob Moore,Arizona Cardinals,,
base,50,Dan Marino,Miami Dolphins,,SP
