setKey,cardNumber,player,team,subset,variant
base,1,Randy Moss,Minnesota Vikings,,
base,2,Randall Cunningham,Minnesota Vikings,,
base,3,Cris Carter,Minnesota Vikings,,
base,4,Robert Smith,Minnesota Vikings,,
base,5,Jake Reed,Minnesota Vikings,,
base,6,Leroy Hoard,Minnesota Vikings,,
base,7,John Randle,Minnesota Vikings,,
base,8,Brett Favre,Green Bay Packers,,
base,9,Antonio Freeman,Green Bay Packers,,
base,10,Dorsey Levens,Green Bay Packers,,
base,11,Robert Brooks,Green Bay Packers,,
base,12,Derrick Mayes,Green Bay Packers,,
base,13,Mark Chmura,Green Bay Packers,,
base,14,Darick Holmes,Indianapolis Colts,,
base,15,Vonnie Holliday,Green Bay Packers,,
base,16,Mike Alstott,Tampa Bay Buccaneers,,
base,17,Warrick Dunn,Tampa Bay Buccaneers,,
base,18,Trent Dilfer,Tampa Bay Buccaneers,,
base,19,Jacquez Green,Tampa Bay Buccaneers,,
base,20,Reidel Anthony,Tampa Bay Buccaneers,,
base,21,Warren Sapp,Tampa Bay Buccaneers,,
base,22,Bert Emanuel,Tampa Bay Buccaneers,,
base,23,Curtis Enis,Chicago Bears,,
base,24,Curtis Conway,Chicago Bears,,
base,25,Bobby Engram,Chicago Bears,,
base,26,Erik Kramer,Chicago Bears,,
base,27,Moses Moreno,Chicago Bears,,
base,28,Edgar Bennett,Chicago Bears,,
base,29,Barry Sanders,Detroit Lions,,
base,30,Charlie Batch,Detroit Lions,,
base,31,Herman Moore,Detroit Lions,,
base,32,Johnnie Morton,Detroit Lions,,
base,33,Germane Crowell,Detroit Lions,,
base,34,Terry Fair,Detroit Lions,,
base,35,Gary Brown,New York Giants,,
base,36,Kent Graham,New York Giants,,
base,37,Kerry Collins,New York Giants,,
base,38,Charles Way,New York Giants,,
base,39,Tiki Barber,New York Giants,,
base,40,Ike Hilliard,New York Giants,,
base,41,Joe Jurevicius,New York Giants,,
base,42,Michael Strahan,New York Giants,,
base,43,Jason Sehorn,New York Giants,,
base,44,Brad Johnson,Washington Redskins,,
base,45,Terry Allen,Washington Redskins,,
base,46,Skip Hicks,Washington Redskins,,
base,47,Michael Westbrook,Washington Redskins,,
base,48,Leslie Shepherd,Cleveland Browns,,
base,49,Stephen Alexander,Washington Redskins,,
base,50,Albert Connell,Washington Redskins,,
base,51,Darrell Green,Washington Redskins,,
base,52,Jake Plummer,Arizona Cardinals,,
base,53,Adrian Murrell,Arizona Cardinals,,
base,54,Frank Sanders,Arizona Cardinals,,
base,55,Rob Moore,Arizona Cardinals,,
base,56,Larry Centers,Arizona Cardinals,,
base,57,Simeon Rice,Arizona Cardinals,,
base,58,Andre Wadsworth,Arizona Cardinals,,
base,59,Duce Staley,Philadelphia Eagles,,
base,60,Charles Johnson,Philadelphia Eagles,,
base,61,Charlie Garner,Philadelphia Eagles,,
base,62,Bobby Hoying,Philadelphia Eagles,,
base,63,Daryl Johnston,Dallas Cowboys,,
base,64,Emmitt Smith,Dallas Cowboys,,
base,65,Troy Aikman,Dallas Cowboys,,
base,66,Michael Irvin,Dallas Cowboys,,
base,67,Deion Sanders,Dallas Cowboys,,
base,68,Chris Warren,Dallas Cowboys,,
base,69,Darren Woodson,Dallas Cowboys,,
base,70,Rod Woodson,Baltimore Ravens,,
base,71,Travis Jervey,San Francisco 49ers,,
base,72,Jerry Rice,San Francisco 49ers,,
base,73,Terrell Owens,San Francisco 49ers,,
base,74,Steve Young,San Francisco 49ers,,
base,75,Garrison Hearst,San Francisco 49ers,,
base,76,J.J. Stokes,San Francisco 49ers,,
base,77,Ken Norton,San Francisco 49ers,,
base,78,R.W. McQuarters,San Francisco 49ers,,
base,79,Bryant Young,San Francisco 49ers,,
base,80,Jamal Anderson,Atlanta Falcons,,
base,81,Chris Chandler,Atlanta Falcons,,
base,82,Terance Mathis,Atlanta Falcons,,
base,83,Tim Dwight,Atlanta Falcons,,
base,84,O.J. Santiago,Atlanta Falcons,,
base,85,Chris Calloway,Atlanta Falcons,,
base,86,Keith Brooking,Atlanta Falcons,,
base,87,Eddie Kennison,New Orleans Saints,,
base,88,Willie Roaf,New Orleans Saints,,
base,89,Cameron Cleeland,New Orleans Saints,,
base,90,Lamar Smith,New Orleans Saints,,
base,91,Sean Dawkins,Seattle Seahawks,,
base,92,Tim Biakabutuka,Carolina Panthers,,
base,93,Muhsin Muhammad,Carolina Panthers,,
base,94,Steve Beuerlein,Carolina Panthers,,
base,95,Rae Carruth,Carolina Panthers,,
base,96,Wesley Walls,Carolina Panthers,,
base,97,Kevin Greene,Carolina Panthers,,
base,98,Trent Green,St. Louis Rams,,
base,99,Tony Banks,Baltimore Ravens,,
base,100,Greg Hill,St. Louis Rams,,
base,101,Robert Holcombe,St. Louis Rams,,
base,102,Isaac Bruce,St. Louis Rams,,
base,103,Amp Lee,St. Louis Rams,,
base,104,Az-Zahir Hakim,St. Louis Rams,,
base,105,Warren Moon,Kansas City Chiefs,,
base,106,Jeff George,Minnesota Vikings,,
base,107,Raghib Ismail,Dallas Cowboys,,
base,108,Kordell Stewart,Pittsburgh Steelers,,
base,109,Jerome Bettis,Pittsburgh Steelers,,
base,110,Courtney Hawkins,Pittsburgh Steelers,,
base,111,Chris Fuamatu-Ma'afala,Pittsburgh Steelers,,
base,112,Levon Kirkland,Pittsburgh Steelers,,
base,113,Hines Ward,Pittsburgh Steelers,,
base,114,Will Blackwell,Pittsburgh Steelers,,
base,115,Corey Dillon,Cincinnati Bengals,,
base,116,Carl Pickens,Cincinnati Bengals,,
base,117,Neil O'Donnell,Cincinnati Bengals,,
base,118,Jeff Blake,Cincinnati Bengals,,
base,119,Darnay Scott,Cincinnati Bengals,,
base,120,Takeo Spikes,Cincinnati Bengals,,
base,121,Steve McNair,Tennessee Titans,,
base,122,Frank Wycheck,Tennessee Titans,,
base,123,Eddie George,Tennessee Titans,,
base,124,Chris Sanders,Tennessee Titans,,
base,125,Yancey Thigpen,Tennessee Titans,,
base,126,Kevin Dyson,Tennessee Titans,,
base,127,Blaine Bishop,Tennessee Titans,,
base,128,Fred Taylor,Jacksonville Jaguars,,
base,129,Mark Brunell,Jacksonville Jaguars,,
base,130,Jimmy Smith,Jacksonville Jaguars,,
base,131,Keenan McCardell,Jacksonville Jaguars,,
base,132,Kyle Brady,Jacksonville Jaguars,,
base,133,Tavian Banks,Jacksonville Jaguars,,
base,134,James Stewart,Jacksonville Jaguars,,
