setKey,cardNumber,player,team,subset,variant
base,1,Mo Vaughn,Anaheim Angels,,
base,2,Troy Glaus,Anaheim Angels,,
base,3,Jeff Bagwell,Houston Astros,,
base,4,Craig Biggio,Houston Astros,,
base,5,Jose Lima,Houston Astros,,
base,6,Jason Giambi,Oakland Athletics,,
base,7,Tim Hudson,Oakland Athletics,,
base,8,Shawn Green,Los Angeles Dodgers,,
base,9,Carlos Delgado,Toronto Blue Jays,,
base,10,Chipper Jones,Atlanta Braves,,
base,11,Andruw Jones,Atlanta Braves,,
base,12,Greg Maddux,Atlanta Braves,,
base,13,Jeromy Burnitz,Milwaukee Brewers,,
base,14,Mark McGwire,St. Louis Cardinals,,
base,15,J.D. Drew,St. Louis Cardinals,,
base,16,Sammy Sosa,Chicago Cubs,,
base,17,Jose Canseco,Tampa Bay Devil Rays,,
base,18,Fred McGriff,Tampa Bay Devil Rays,,
base,19,Randy Johnson,Arizona Diamondbacks,,
base,20,Matt Williams,Arizona Diamondbacks,,
base,21,Kevin Brown,Los Angeles Dodgers,,
base,22,Gary Sheffield,Los Angeles Dodgers,,
base,23,Vladimir Guerrero,Montreal Expos,,
base,24,Barry Bonds,San Francisco Giants,,
base,25,Jim Thome,Cleveland Indians,,
base,26,Manny Ramirez,Cleveland Indians,,
base,27,Roberto Alomar,Cleveland Indians,,
base,28,Kenny Lofton,Cleveland Indians,,
base,29,Ken Griffey Jr.,Seattle Mariners,,
base,30,Alex Rodriguez,Seattle Mariners,,
base,31,Alex Gonzalez,Florida Marlins,,
base,32,Preston Wilson,Florida Marlins,,
base,33,Mike Piazza,New York Mets,,
base,34,Robin Ventura,New York Mets,,
base,35,Cal Ripken Jr.,Baltimore Orioles,,
base,36,Albert Belle,Baltimore Orioles,,
base,37,Tony Gwynn,San Diego Padres,,
base,38,Scott Rolen,Philadelphia Phillies,,
base,39,Curt Schilling,Philadelphia Phillies,,
base,40,Brian Giles,Pittsburgh Pirates,,
base,41,Juan Gonzalez,Detroit Tigers,,
base,42,Ivan Rodriguez,Texas Rangers,,
base,43,Rafael Palmeiro,Texas Rangers,,
base,44,Pedro Martinez,Boston Red Sox,,
base,45,Nomar Garciaparra,Boston Red Sox,,
base,46,Sean Casey,Cincinnati Reds,,
base,47,Aaron Boone,Cincinnati Reds,,
base,48,Barry Larkin,Cincinnati Reds,,
base,49,Larry Walker,Colorado Rockies,,
base,50,Vinny Castilla,Colorado Rockies,,
base,51,Carlos Beltran,Kansas City Royals,,
base,52,Gabe Kapler,Texas Rangers,,
base,53,Dean Palmer,Detroit Tigers,,
base,54,Eric Milton,Minnesota Twins,,
base,55,Corey Koskie,Minnesota Twins,,
base,56,Frank Thomas,Chicago White Sox,,
base,57,Magglio Ordonez,Chicago White Sox,,
base,58,Roger Clemens,New York Yankees,,
base,59,Bernie Williams,New York Yankees,,
base,60,Derek Jeter,New York Yankees,,
base,61,Josh Beckett,Florida Marlins,Futuristics,FUT
base,62,Eric Munson,Detroit Tigers,Futuristics,FUT
base,63,Rick Ankiel,St. Louis Cardinals,Futuristics,FUT
base,64,Matt Riley,Baltimore Orioles,Futuristics,FUT
base,65,Rob Ramsay,Seattle Mariners,Futuristics,FUT
base,66,Vernon Wells,Toronto Blue Jays,Futuristics,FUT
