setKey,cardNumber,player,team,subset,variant
base,1,Alex Rodriguez,Texas Rangers,,
base,2,Derek Jeter,New York Yankees,,
base,3,Aramis Ramirez,Pittsburgh Pirates,,
base,4,Cliff Floyd,Florida Marlins,,
base,5,Nomar Garciaparra,Boston Red Sox,,
base,6,Craig Biggio,Houston Astros,,
base,7,Ivan Rodriguez,Texas Rangers,,
base,8,Cal Ripken Jr.,Baltimore Orioles,,
base,9,Fred McGriff,Chicago Cubs,,
base,10,Chipper Jones,Atlanta Braves,,
base,11,Roberto Alomar,Cleveland Indians,,
base,12,Moises Alou,Houston Astros,,
base,13,Freddy Garcia,Seattle Mariners,,
base,14,Bobby Abreu,Philadelphia Phillies,,
base,15,Shawn Green,Los Angeles Dodgers,,
base,16,Jason Giambi,Oakland Athletics,,
base,17,Todd Helton,Colorado Rockies,,
base,18,Robert Fick,Detroit Tigers,,
base,19,Tony Gwynn,San Diego Padres,,
base,20,Luis Gonzalez,Arizona Diamondbacks,,
base,21,Sean Casey,Cincinnati Reds,,
base,22,Roger Clemens,New York Yankees,,
base,23,Brian Giles,Pittsburgh Pirates,,
base,24,Manny Ramirez,Boston Red Sox,,
base,25,Barry Bonds,San Francisco Giants,,
base,26,Richard Hidalgo,Houston Astros,,
base,27,Vladimir Guerrero,Montreal Expos,,
base,28,Kevin Brown,Los Angeles Dodgers,,
base,29,Mike Sweeney,Kansas City Royals,,
base,30,"Ken Griffey Jr. UERUER: Last name misspelled ""Griffy"" on the back",Cincinnati Reds,,
base,31,Mike Piazza,New York Mets,,
base,32,Richie Sexson,Milwaukee Brewers,,
base,33,Matt Morris,St. Louis Cardinals,,
base,34,Jorge Posada,New York Yankees,,
base,35,Eric Chavez,Oakland Athletics,,
base,36,Mark Buehrle,Chicago White Sox,,
base,37,Jeff Bagwell,Houston Astros,,
base,38,Curt Schilling,Arizona Diamondbacks,,
base,39,Bartolo Colon,Cleveland Indians,,
base,40,Mark Quinn,Kansas City Royals,,
base,41,Tony Clark,Detroit Tigers,,
base,42,Brad Radke,Minnesota Twins,,
base,43,Gary Sheffield,Los Angeles Dodgers,,
base,44,Doug Mientkiewicz,Minnesota Twins,,
base,45,Pedro Martinez,Boston Red Sox,,
base,46,Carlos Lee,Chicago White Sox,,
base,47,Troy Glaus,Anaheim Angels,,
base,48,Preston Wilson,Florida Marlins,,
base,49,Phil Nevin,San Diego Padres,,
base,50,Chan Ho Park,Los Angeles Dodgers,,
base,51,Randy Johnson,Arizona Diamondbacks,,
base,52,Jermaine Dye,Oakland Athletics,,
base,53,Terrence Long,Oakland Athletics,,
base,54,Joe Mays,Minnesota Twins,,
base,55,Scott Rolen,Philadelphia Phillies,,
base,56,Miguel Tejada,Oakland Athletics,,
base,57,Jim Thome,Cleveland Indians,,
base,58,Jose Vidro,Montreal Expos,,
base,59,Gabe Kapler,Texas Rangers,,
base,60,Darin Erstad,Anaheim Angels,,
base,61,Jim Edmonds,St. Louis Cardinals,,
base,62,Jarrod Washburn,Anaheim Angels,,
base,63,Tom Glavine,Atlanta Braves,,
base,64,Adrian Beltre,Los Angeles Dodgers,,
base,65,Sammy Sosa,Chicago Cubs,,
base,66,Juan Gonzalez,Cleveland Indians,,
base,67,Rafael Furcal,Atlanta Braves,,
base,68,Mike Mussina,New York Yankees,,
base,69,Mark McGwire,St. Louis Cardinals,,
base,70,Ryan Klesko,San Diego Padres,,
base,71,Raul Mondesi,Toronto Blue Jays,,
base,72,Trot Nixon,Boston Red Sox,,
base,73,Barry Larkin,Cincinnati Reds,,
base,74,Rafael Palmeiro,Texas Rangers,,
base,75,Mark Mulder,Oakland Athletics,,
base,76,Carlos Delgado,Toronto Blue Jays,,
base,77,Mike Hampton,Colorado Rockies,,
base,78,Carl Everett,Boston Red Sox,,
base,79,Paul Konerko,Chicago White Sox,,
base,80,Larry Walker,Colorado Rockies,,
base,81,Kerry Wood,Chicago Cubs,,
base,82,Frank Thomas,Chicago White Sox,,
base,83,Andruw Jones,Atlanta Braves,,
base,84,Eric Milton,Minnesota Twins,,
base,85,Ben Grieve,Tampa Bay Devil Rays,,
base,86,Carlos Beltran,Kansas City Royals,,
base,87,Tim Hudson,Oakland Athletics,,
base,88,Hideo Nomo,Boston Red Sox,,
base,89,Greg Maddux,Atlanta Braves,,
base,90,Edgar Martinez,Seattle Mariners,,
base,91,Lance Berkman,Houston Astros,,
base,92,Pat Burrell,Philadelphia Phillies,,
base,93,Jeff Kent,San Francisco Giants,,
base,94,Magglio Ordonez,Chicago White Sox,,
base,95,Cristian Guzman,Minnesota Twins,,
base,96,Jose Canseco,Chicago White Sox,,
base,97,J.D. Drew,St. Louis Cardinals,,
base,98,Bernie Williams,New York Yankees,,
base,99,Kazuhiro Sasaki,Seattle Mariners,,
base,100,Rickey Henderson,San Diego Padres,,
base,101,Wilson Guzman RC,Pittsburgh Pirates,Tier 1,
base,102,Nick Neugebauer,Milwaukee Brewers,Tier 1,
base,103,Lance Davis RC,Cincinnati Reds,Tier 1,
base,104,Felipe Lopez,Toronto Blue Jays,Tier 1,
base,105,Toby Hall,Tampa Bay Devil Rays,Tier 1,
base,106,Jack Cust,Arizona Diamondbacks,Tier 1,
base,107,Jason Karnuth RC,St. Louis Cardinals,Tier 1,
base,108,Bart Miadich RC,Anaheim Angels,Tier 1,
base,109,Brian Roberts RC,Baltimore Orioles,Tier 1,
base,110,Brandon Larson RC,Cincinnati Reds,Tier 1,
